Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1795,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-01-11,Conflict or political event,"More than a year after the Battle of Sprimont, the Austrian Netherlands (present-day Belgium) are officially annexed by Revolutionary France.","More than a year after the Battle of Sprimont, the Austrian Netherlands (present-day Belgium) are officially annexed by Revolutionary France.","October 1, 1795 CE",https://en.wikipedia.org/wiki/October_1,1795-10-01,"October 1, 1795 CE",October 1 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1800,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-01-12,Political event,"Via the Third Treaty of San Ildefonso, Spain cedes Louisiana to France, which would sell the land to the United States thirty months later.","Via the Third Treaty of San Ildefonso, Spain cedes Louisiana to France, which would sell the land to the United States thirty months later.","October 1, 1800 CE",https://en.wikipedia.org/wiki/October_1,1800-10-01,"October 1, 1800 CE",October 1 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1814,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-13,Historical event,The Congress of Vienna opens with the intention of redrawing Europe's political map after the defeat of Napoleon in the previous spring.,The Congress of Vienna opens with the intention of redrawing Europe's political map after the defeat of Napoleon in the previous spring.,"October 1, 1814 CE",https://en.wikipedia.org/wiki/October_1,1814-10-01,"October 1, 1814 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1903,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-01-14,Historical event,Baseball: The Boston Americans play the Pittsburgh Pirates in the first game of the modern World Series.,Baseball: The Boston Americans play the Pittsburgh Pirates in the first game of the modern World Series.,"October 1, 1903 CE",https://en.wikipedia.org/wiki/October_1,1903-10-01,"October 1, 1903 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1908,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-15,Historical event,Ford Model T automobiles are offered for sale at a price of US$825.,Ford Model T automobiles are offered for sale at a price of US$825.,"October 1, 1908 CE",https://en.wikipedia.org/wiki/October_1,1908-10-01,"October 1, 1908 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1910,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-16,Historical event,"A large bomb destroys the Los Angeles Times building, killing 21.","A large bomb destroys the Los Angeles Times building, killing 21.","October 1, 1910 CE",https://en.wikipedia.org/wiki/October_1,1910-10-01,"October 1, 1910 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1915,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-17,Cultural or educational event,The Metamorphosis written by Franz Kafka is published in the German journal Die Weißen Blätter,The Metamorphosis written by Franz Kafka is published in the German journal Die Weißen Blätter,"October 1, 1915 CE",https://en.wikipedia.org/wiki/October_1,1915-10-01,"October 1, 1915 CE",October 1 — Wikipedia,Exact day in source chronology,"Culture, literature and education",Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1918,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Africa,GHC-OCT-01-18,Conflict or political event,World War I: The Egyptian Expeditionary Force captures Damascus.,World War I: The Egyptian Expeditionary Force captures Damascus.,"October 1, 1918 CE",https://en.wikipedia.org/wiki/October_1,1918-10-01,"October 1, 1918 CE",October 1 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1918,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-19,Historical event,Sayid Abdullah becomes the last Khan of Khiva.,Sayid Abdullah becomes the last Khan of Khiva.,"October 1, 1918 CE",https://en.wikipedia.org/wiki/October_1,1918-10-01,"October 1, 1918 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1923,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-01-20,Historical event,The 1923 Imperial Conference opened in London.,The 1923 Imperial Conference opened in London.,"October 1, 1923 CE",https://en.wikipedia.org/wiki/October_1,1923-10-01,"October 1, 1923 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,829,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Middle East,GHC-OCT-02-01,Political event,Theophilos succeeds his father Michael II as Byzantine Emperor.,Theophilos succeeds his father Michael II as Byzantine Emperor.,"October 2, 829 CE",https://en.wikipedia.org/wiki/October_2,0829-10-02,"October 2, 829 CE",October 2 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,939,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-02,Conflict or political event,"Battle of Andernach: Otto I, Holy Roman Emperor, crushes a rebellion against his rule, by a coalition of Eberhard of Franconia and other Frankish dukes.","Battle of Andernach: Otto I, Holy Roman Emperor, crushes a rebellion against his rule, by a coalition of Eberhard of Franconia and other Frankish dukes.","October 2, 939 CE",https://en.wikipedia.org/wiki/October_2,0939-10-02,"October 2, 939 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1187,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Middle East,GHC-OCT-02-03,Conflict or political event,Saladin won Jerusalem after the city surrendered to his forces following a prolonged siege.,Saladin won Jerusalem after the city surrendered to his forces following a prolonged siege.,"October 2, 1187 CE",https://en.wikipedia.org/wiki/October_2,1187-10-02,"October 2, 1187 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1263,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-04,Conflict or political event,The Battle of Largs is fought between Norwegians and Scots.,The Battle of Largs is fought between Norwegians and Scots.,"October 2, 1263 CE",https://en.wikipedia.org/wiki/October_2,1263-10-02,"October 2, 1263 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1470,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-02-05,Conflict or political event,"The Earl of Warwick's rebellion forces King Edward IV of England to flee to the Netherlands, restoring Henry VI to the throne.","The Earl of Warwick's rebellion forces King Edward IV of England to flee to the Netherlands, restoring Henry VI to the throne.","October 2, 1470 CE",https://en.wikipedia.org/wiki/October_2,1470-10-02,"October 2, 1470 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1552,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-02-06,Conflict or political event,Russo-Kazan Wars: Russian troops enter Kazan.,Russo-Kazan Wars: Russian troops enter Kazan.,"October 2, 1552 CE",https://en.wikipedia.org/wiki/October_2,1552-10-02,"October 2, 1552 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1766,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-07,Historical event,"The Nottingham Cheese Riot breaks out at the Goose Fair in Nottingham, UK, in response to the excessive cost of cheese.","The Nottingham Cheese Riot breaks out at the Goose Fair in Nottingham, UK, in response to the excessive cost of cheese.","October 2, 1766 CE",https://en.wikipedia.org/wiki/October_2,1766-10-02,"October 2, 1766 CE",October 2 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1780,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-02-08,Conflict or political event,"American Revolutionary War: John André, a British Army officer, is hanged as a spy by the Continental Army.","American Revolutionary War: John André, a British Army officer, is hanged as a spy by the Continental Army.","October 2, 1780 CE",https://en.wikipedia.org/wiki/October_2,1780-10-02,"October 2, 1780 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1789,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-02-09,Historical event,The United States Bill of Rights is sent to the various States for ratification.,The United States Bill of Rights is sent to the various States for ratification.,"October 2, 1789 CE",https://en.wikipedia.org/wiki/October_2,1789-10-02,"October 2, 1789 CE",October 2 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1835,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-10,Conflict or political event,"Texas Revolution: Mexican troops attempt to disarm the people of Gonzales, but encounter stiff resistance from a hastily assembled militia.","Texas Revolution: Mexican troops attempt to disarm the people of Gonzales, but encounter stiff resistance from a hastily assembled militia.","October 2, 1835 CE",https://en.wikipedia.org/wiki/October_2,1835-10-02,"October 2, 1835 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1864,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-02-11,Conflict or political event,"American Civil War: Confederates defeat a Union attack on Saltville, Virginia. A massacre of wounded Union prisoners ensues.","American Civil War: Confederates defeat a Union attack on Saltville, Virginia. A massacre of wounded Union prisoners ensues.","October 2, 1864 CE",https://en.wikipedia.org/wiki/October_2,1864-10-02,"October 2, 1864 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1870,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-02-12,Political event,"By plebiscite, the citizens of the Papal States accept annexation by the Kingdom of Italy.","By plebiscite, the citizens of the Papal States accept annexation by the Kingdom of Italy.","October 2, 1870 CE",https://en.wikipedia.org/wiki/October_2,1870-10-02,"October 2, 1870 CE",October 2 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1718,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-13,Historical event,"Elizabeth Montagu, English author and critic (died 1800)","Elizabeth Montagu, English author and critic (died 1800)","October 2, 1718 CE",https://en.wikipedia.org/wiki/October_2,1718-10-02,"October 2, 1718 CE",October 2 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1919,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-02-14,Political event,"Seven days after suffering a "" physical collapse"" following a speech in Pueblo, Colorado, U.S. president Woodrow Wilson has a catastrophic stroke at the White House, leaving him physically and mentally incapacitated for the remainder of his presidency.","Seven days after suffering a "" physical collapse"" following a speech in Pueblo, Colorado, U.S. president Woodrow Wilson has a catastrophic stroke at the White House, leaving him physically and mentally incapacitated for ","October 2, 1919 CE",https://en.wikipedia.org/wiki/October_2,1919-10-02,"October 2, 1919 CE",October 2 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1920,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-02-15,Conflict or political event,Ukrainian War of Independence: Mikhail Frunze orders the Red Army to immediately cease hostilities with the Revolutionary Insurgent Army of Ukraine.,Ukrainian War of Independence: Mikhail Frunze orders the Red Army to immediately cease hostilities with the Revolutionary Insurgent Army of Ukraine.,"October 2, 1920 CE",https://en.wikipedia.org/wiki/October_2,1920-10-02,"October 2, 1920 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1928,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-16,Historical event,"The ""Prelature of the Holy Cross and the Work of God"", commonly known as Opus Dei, is founded.","The ""Prelature of the Holy Cross and the Work of God"", commonly known as Opus Dei, is founded.","October 2, 1928 CE",https://en.wikipedia.org/wiki/October_2,1928-10-02,"October 2, 1928 CE",October 2 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1937,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-02-17,Historical event,Rafael Trujillo orders the execution of Haitians living in the border region of the Dominican Republic.,Rafael Trujillo orders the execution of Haitians living in the border region of the Dominican Republic.,"October 2, 1937 CE",https://en.wikipedia.org/wiki/October_2,1937-10-02,"October 2, 1937 CE",October 2 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1942,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-18,Conflict or political event,"World War II: Ocean Liner RMS Queen Mary accidentally rams and sinks HMS Curacoa, killing over 300 crewmen aboard Curacoa.","World War II: Ocean Liner RMS Queen Mary accidentally rams and sinks HMS Curacoa, killing over 300 crewmen aboard Curacoa.","October 2, 1942 CE",https://en.wikipedia.org/wiki/October_2,1942-10-02,"October 2, 1942 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1944,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-02-19,Conflict or political event,World War II: German troops end the Warsaw Uprising.,World War II: German troops end the Warsaw Uprising.,"October 2, 1944 CE",https://en.wikipedia.org/wiki/October_2,1944-10-02,"October 2, 1944 CE",October 2 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
2,CE,1958,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-02-20,Political event,Guinea declares its independence from France.,Guinea declares its independence from France.,"October 2, 1958 CE",https://en.wikipedia.org/wiki/October_2,1958-10-02,"October 2, 1958 CE",October 2 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,382,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-03-01,Political event,Roman Emperor Theodosius I concludes a peace treaty with the Goths and settles them in the Balkans.,Roman Emperor Theodosius I concludes a peace treaty with the Goths and settles them in the Balkans.,"October 3, 382 CE",https://en.wikipedia.org/wiki/3_October,0382-10-03,"October 3, 382 CE",October 3 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1392,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-03-02,Historical event,Muhammed VII becomes the twelfth sultan of the Emirate of Granada.,Muhammed VII becomes the twelfth sultan of the Emirate of Granada.,"October 3, 1392 CE",https://en.wikipedia.org/wiki/3_October,1392-10-03,"October 3, 1392 CE",October 3 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1574,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-03-03,Conflict or political event,The Siege of Leiden is lifted by the Watergeuzen.,The Siege of Leiden is lifted by the Watergeuzen.,"October 3, 1574 CE",https://en.wikipedia.org/wiki/3_October,1574-10-03,"October 3, 1574 CE",October 3 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1390,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-03-04,Historical event,"Humphrey, Duke of Gloucester(died 1447)","Humphrey, Duke of Gloucester(died 1447)","October 3, 1390 CE",https://en.wikipedia.org/wiki/3_October,1390-10-03,"October 3, 1390 CE",October 3 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1458,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-03-05,Religious event,"Saint Casimir, Prince of Poland and Duke of Lithuania (died 1484)","Saint Casimir, Prince of Poland and Duke of Lithuania (died 1484)","October 3, 1458 CE",https://en.wikipedia.org/wiki/3_October,1458-10-03,"October 3, 1458 CE",October 3 — Wikipedia,Exact day in source chronology,Religion and philosophy,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1554,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-03-06,Historical event,"Fulke Greville, 1st Baron Brooke, English poet (died 1628)","Fulke Greville, 1st Baron Brooke, English poet (died 1628)","October 3, 1554 CE",https://en.wikipedia.org/wiki/3_October,1554-10-03,"October 3, 1554 CE",October 3 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1683,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Asia,GHC-OCT-03-07,Conflict or political event,Qing dynasty naval commander Shi Lang receives the surrender of the Tungning kingdom on Taiwan after the Battle of Penghu.,Qing dynasty naval commander Shi Lang receives the surrender of the Tungning kingdom on Taiwan after the Battle of Penghu.,"October 3, 1683 CE",https://en.wikipedia.org/wiki/3_October,1683-10-03,"October 3, 1683 CE",October 3 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1712,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-03-08,Conflict or political event,The Duke of Montrose issues a warrant for the arrest of Rob Roy MacGregor.,The Duke of Montrose issues a warrant for the arrest of Rob Roy MacGregor.,"October 3, 1712 CE",https://en.wikipedia.org/wiki/3_October,1712-10-03,"October 3, 1712 CE",October 3 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1739,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-03-09,Conflict or political event,The Treaty of Niš is signed by the Ottoman Empire and Russia ending the Russian–Turkish War.,The Treaty of Niš is signed by the Ottoman Empire and Russia ending the Russian–Turkish War.,"October 3, 1739 CE",https://en.wikipedia.org/wiki/3_October,1739-10-03,"October 3, 1739 CE",October 3 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1789,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-03-10,Historical event,"George Washington proclaims Thursday November 26, 1789 as Thanksgiving Day.","George Washington proclaims Thursday November 26, 1789 as Thanksgiving Day.","October 3, 1789 CE",https://en.wikipedia.org/wiki/3_October,1789-10-03,"October 3, 1789 CE",October 3 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1792,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-03-11,Historical event,A militia departs from the Spanish stronghold of Valdivia to quell a Huilliche uprising in southern Chile.,A militia departs from the Spanish stronghold of Valdivia to quell a Huilliche uprising in southern Chile.,"October 3, 1792 CE",https://en.wikipedia.org/wiki/3_October,1792-10-03,"October 3, 1792 CE",October 3 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
3,CE,1862,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Americas,GHC-OCT-03-12,Conflict or political event,"American Civil War: The two-day Second Battle of Corinth begins as Confederate forces under General Earl Van Dorn attack Union defenses led by General William Rosecrans around Corinth, Mississippi.","American Civil War: The two-day Second Battle of Corinth begins as Confederate forces under General Earl Van Dorn attack Union defenses led by General William Rosecrans around Corinth, Mississippi.","October 3, 1862 CE",https://en.wikipedia.org/wiki/3_October,1862-10-03,"October 3, 1862 CE",October 3 — Wikipedia,Exact day in source chronology,Military and political history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
