Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1946,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-01-1946-11,event,"Leaders of the Russian Liberation Army, a force of Russian prisoners of war that collaborated with Nazi Germany, are executed in Moscow, Soviet Union for treason.","Leaders of the Russian Liberation Army, a force of Russian prisoners of war that collaborated with Nazi Germany, are executed in Moscow, Soviet Union for treason",1 August 1946 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1946,Wikipedia — August 1,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
1,CE,1944,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-01-1944-12,event,"World War II: The Warsaw Uprising against the Nazi German occupation breaks out in Warsaw, Poland.",World War II,1 August 1944 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1944,Wikipedia — August 1,reported,military,Germany,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
1,CE,1943,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-01-1943-13,event,"World War II: Operation Tidal Wave, also known as ""Black Sunday"", is a failed American attempt to destroy Romanian oil fields.",World War II,1 August 1943 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1943,Wikipedia — August 1,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
1,CE,1914,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-01-1914-14,event,World War I: The Swiss Army mobilizes because of World War I.,World War I,1 August 1914 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1914,Wikipedia — August 1,reported,military,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
1,CE,1664,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Middle East,GHCD-AUG-01-1664-15,event,"Ottoman forces are defeated in the battle of Saint Gotthard by an Austrian army led by Raimondo Montecuccoli, resulting in the Peace of Vasvár.","Ottoman forces are defeated in the battle of Saint Gotthard by an Austrian army led by Raimondo Montecuccoli, resulting in the Peace of Vasvár",1 August 1664 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1664,Wikipedia — August 1,reported,military,Turkey,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
1,CE,1957,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-01-1957-16,event,The United States and Canada form the North American Aerospace Defense Command (NORAD).,The United States and Canada form the North American Aerospace Defense Command (NORAD),1 August 1957 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1957,Wikipedia — August 1,reported,science and technology,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,81
1,CE,1937,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-01-1937-17,event,"Josip Broz Tito reads the resolution ""Manifesto of constitutional congress of KPH"" to the constitutive congress of KPH (Croatian Communist Party) in woods near Samobor.","Josip Broz Tito reads the resolution ""Manifesto of constitutional congress of KPH"" to the constitutive congress of KPH (Croatian Communist Party) in woods near Samobor",1 August 1937 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1937,Wikipedia — August 1,reported,political,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,80
1,CE,1960,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-01-1960-18,event,Islamabad is declared the federal capital of the Government of Pakistan.,Islamabad is declared the federal capital of the Government of Pakistan,1 August 1960 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1960,Wikipedia — August 1,reported,social history,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,79
1,CE,1981,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-01-1981-19,event,"MTV begins broadcasting in the United States and airs its first video, "" Video Killed the Radio Star"" by The Buggles.","MTV begins broadcasting in the United States and airs its first video, "" Video Killed the Radio Star"" by The Buggles",1 August 1981 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1981,Wikipedia — August 1,reported,social history,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,77
1,CE,1980,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-01-1980-20,event,Vigdís Finnbogadóttir is elected President of Iceland and becomes the world's first democratically elected female head of state.,Vigdís Finnbogadóttir is elected President of Iceland and becomes the world's first democratically elected female head of state,1 August 1980 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1980,Wikipedia — August 1,reported,political,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,77
2,CE,1916,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1916-01,event,World War I: Austrian sabotage causes the sinking of the Italian battleship Leonardo da Vinci in Taranto.,World War I,2 August 1916 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1916,Wikipedia — August 2,reported,military,Italy,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
2,CE,1798,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1798-02,event,French Revolutionary Wars: The Battle of the Nile concludes in a British victory.,French Revolutionary Wars,2 August 1798 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1798,Wikipedia — August 2,reported,military,United Kingdom,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
2,CE,1991,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1991-03,event,Space Shuttle Atlantis is launched on STS-43 to deploy the TDRS-5 satellite.,Space Shuttle Atlantis is launched on STS-43 to deploy the TDRS-5 satellite,2 August 1991 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1991,Wikipedia — August 2,reported,science and technology,,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,93
2,CE,1943,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1943-04,event,"The Holocaust: Jewish prisoners stage a revolt at Treblinka, one of the deadliest of Nazi death camps where approximately 900,000 persons were murdered in less than 18 months.",The Holocaust,2 August 1943 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1943,Wikipedia — August 2,uncertain,military,,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,85
2,CE,1776,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-02-1776-05,event,The signing of the United States Declaration of Independence takes place.,The signing of the United States Declaration of Independence takes place,2 August 1776 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1776,Wikipedia — August 2,reported,political,United States,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,85
2,CE,1990,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Middle East,GHCD-AUG-02-1990-06,event,"Iraqi invasion of Kuwait: Iraq invades Kuwait and temporarily establishes the Republic of Kuwait puppet state on the orders of Saddam Hussein, eventually leading to the Gulf War.",Iraqi invasion of Kuwait,2 August 1990 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1990,Wikipedia — August 2,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1945,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1945-07,event,World War II: The Potsdam Conference ends.,World War II,2 August 1945 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1945,Wikipedia — August 2,reported,military,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1944,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1944-08,event,World War II: The largest trade convoy of the world wars arrives safely in the Western Approaches.,World War II,2 August 1944 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1944,Wikipedia — August 2,reported,military,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1943,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-02-1943-09,event,"World War II: After the Motor Torpedo Boat PT-109 is rammed and sunk by the Japanese destroyer Amagiri, Lt. John F. Kennedy, future U.S. president, saves all but two of his crew.",World War II,2 August 1943 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1943,Wikipedia — August 2,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1923,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-02-1923-10,event,U.S. Vice President Calvin Coolidge becomes president upon the death of President Warren G. Harding.,U.S,2 August 1923 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1923,Wikipedia — August 2,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1914,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1914-11,event,World War I: The German occupation of Luxembourg begins.,World War I,2 August 1914 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1914,Wikipedia — August 2,reported,military,Germany,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1897,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1897-12,event,Anglo-Afghan War: The Siege of Malakand ends when a relief column is able to reach the British garrison in the Malakand states.,Anglo-Afghan War,2 August 1897 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1897,Wikipedia — August 2,reported,military,United Kingdom,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1830,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1830-13,event,July Revolution: Charles X of France abdicates the throne in favor of his grandson Henri.,July Revolution,2 August 1830 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1830,Wikipedia — August 2,reported,social history,France,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1377,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-02-1377-14,event,Russian troops are defeated by forces of the Blue Horde Khan Arapsha in the Battle on Pyana River.,Russian troops are defeated by forces of the Blue Horde Khan Arapsha in the Battle on Pyana River,2 August 1377 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1377,Wikipedia — August 2,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1274,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1274-15,event,Edward I of England returns from the Ninth Crusade and is crowned King seventeen days later.,Edward I of England returns from the Ninth Crusade and is crowned King seventeen days later,2 August 1274 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1274,Wikipedia — August 2,reported,military,United Kingdom,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,BCE,338,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-338-16,event,"A Macedonian army led by Philip II defeated the combined forces of Athens and Thebes in the Battle of Chaeronea, securing Macedonian hegemony in Greece and the Aegean.","A Macedonian army led by Philip II defeated the combined forces of Athens and Thebes in the Battle of Chaeronea, securing Macedonian hegemony in Greece and the Aegean",2 August 338 BCE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 338 BC,Wikipedia — August 2,reported,military,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,BCE,216,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-216-17,event,The Carthaginian army led by Hannibal defeats a numerically superior Roman army at the Battle of Cannae.,The Carthaginian army led by Hannibal defeats a numerically superior Roman army at the Battle of Cannae,2 August 216 BCE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 216 BC,Wikipedia — August 2,reported,military,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
2,CE,1989,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-02-1989-18,event,A massacre is carried out by an Indian Peace Keeping Force in Sri Lanka killing 64 ethnic Tamil civilians.,A massacre is carried out by an Indian Peace Keeping Force in Sri Lanka killing 64 ethnic Tamil civilians,2 August 1989 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1989,Wikipedia — August 2,reported,social history,India,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,81
2,CE,1939,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-02-1939-19,event,"Albert Einstein and Leo Szilard write a letter to Franklin D. Roosevelt, urging him to begin the Manhattan Project to develop a nuclear weapon.",Albert Einstein and Leo Szilard write a letter to Franklin D,2 August 1939 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1939,Wikipedia — August 2,reported,science and technology,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,81
2,CE,1869,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-02-1869-20,event,Japan's Edo society class system is abolished as part of the Meiji Restoration reforms.,Japan's Edo society class system is abolished as part of the Meiji Restoration reforms,2 August 1869 CE,https://en.wikipedia.org/wiki/2_August,08-02,2 August 1869,Wikipedia — August 2,reported,social history,Japan,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,80
3,CE,1914,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1914-01,event,"World War I: Germany declares war against France, while Romania declares its neutrality.",World War I,3 August 1914 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1914,Wikipedia — August 3,reported,military,France,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
3,CE,1795,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-03-1795-02,event,"Treaty of Greenville is signed, ending the Northwest Indian War in the Ohio Country.","Treaty of Greenville is signed, ending the Northwest Indian War in the Ohio Country",3 August 1795 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1795,Wikipedia — August 3,reported,military,India,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
3,CE,1645,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1645-03,event,Thirty Years' War: The Second Battle of Nördlingen sees French forces defeating those of the Holy Roman Empire.,Thirty Years' War,3 August 1645 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1645,Wikipedia — August 3,reported,military,France,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
3,CE,1601,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1601-04,event,Long War: Austria captures Transylvania in the Battle of Goroszló.,Long War,3 August 1601 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1601,Wikipedia — August 3,reported,military,,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
3,CE,1958,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Polar regions,GHCD-AUG-03-1958-05,event,"The world's first nuclear submarine, the USS Nautilus, becomes the first vessel to complete a submerged transit of the geographical North Pole.","The world's first nuclear submarine, the USS Nautilus, becomes the first vessel to complete a submerged transit of the geographical North Pole",3 August 1958 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1958,Wikipedia — August 3,reported,science and technology,United States,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,93
3,CE,1960,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Africa,GHCD-AUG-03-1960-06,event,Niger gains independence from France.,Niger gains independence from France,3 August 1960 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1960,Wikipedia — August 3,reported,political,France,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,85
3,CE,1940,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1940-07,event,World War II: Italian forces begin the invasion of British Somaliland.,World War II,3 August 1940 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1940,Wikipedia — August 3,reported,military,United Kingdom,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
3,CE,1889,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Africa,GHCD-AUG-03-1889-08,event,An Anglo-Eyptian army defeats a Mahdist-Sudanese army in the battle of Toski.,An Anglo-Eyptian army defeats a Mahdist-Sudanese army in the battle of Toski,3 August 1889 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1889,Wikipedia — August 3,reported,military,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
3,CE,1692,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-03-1692-09,event,"British-Dutch forces under William III defending the city of Brussels fight an inconclusive battle at Steenkerque against a French army under the duke of Luxembourg, with both sides suffering heavy casualties.","British-Dutch forces under William III defending the city of Brussels fight an inconclusive battle at Steenkerque against a French army under the duke of Luxembourg, with both side",3 August 1692 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1692,Wikipedia — August 3,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
3,CE,1347,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1347-10,event,The city of Calais surrenders after a protracted siege to the English following the English defeat of a French relief fleet in the battle of Crotoy. It will remain in English hands for more than 200 years.,The city of Calais surrenders after a protracted siege to the English following the English defeat of a French relief fleet in the battle of Crotoy,3 August 1347 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1347,Wikipedia — August 3,reported,military,France,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
3,CE,908,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-908-11,event,Battle of Eisenach: An invading Hungarian force defeats an East Frankish army under Duke Burchard of Thuringia.,Battle of Eisenach,3 August 908 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 908,Wikipedia — August 3,reported,military,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
3,CE,881,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-03-881-12,event,"Battle of Saucourt-en-Vimeu: Louis III of France defeats the Vikings, an event celebrated in the poem Ludwigslied.",Battle of Saucourt-en-Vimeu,3 August 881 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 881,Wikipedia — August 3,reported,military,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
3,CE,1997,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Africa,GHCD-AUG-03-1997-13,event,"Oued El-Had and Mezouara massacre in Algeria: A total of 116 villagers killed, 40 in Oued El-Had and 76 in Mezouara.",Oued El-Had and Mezouara massacre in Algeria,3 August 1997 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1997,Wikipedia — August 3,reported,social history,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,81
3,CE,1972,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-03-1972-14,event,The United States Senate ratifies the Anti-Ballistic Missile Treaty.,The United States Senate ratifies the Anti-Ballistic Missile Treaty,3 August 1972 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1972,Wikipedia — August 3,reported,political,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,80
3,CE,1829,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1829-15,event,"The Treaty of Lewistown is signed by the Shawnee and Seneca peoples, exchanging land in Ohio for land west of the Mississippi River.","The Treaty of Lewistown is signed by the Shawnee and Seneca peoples, exchanging land in Ohio for land west of the Mississippi River",3 August 1829 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1829,Wikipedia — August 3,reported,political,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,80
3,CE,1981,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1981-16,event,"Senegalese opposition parties, under the leadership of Mamadou Dia, launch the Antiimperialist Action Front – Suxxali Reew Mi.","Senegalese opposition parties, under the leadership of Mamadou Dia, launch the Antiimperialist Action Front – Suxxali Reew Mi",3 August 1981 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1981,Wikipedia — August 3,reported,social history,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,77
3,CE,1977,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1977-17,event,"Tandy Corporation announces the TRS-80, one of the world's first mass-produced personal computers.","Tandy Corporation announces the TRS-80, one of the world's first mass-produced personal computers",3 August 1977 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1977,Wikipedia — August 3,reported,social history,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,77
3,CE,1946,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-03-1946-18,event,"Santa Claus Land, the world's first themed amusement park, opens in Santa Claus, Indiana, United States.","Santa Claus Land, the world's first themed amusement park, opens in Santa Claus, Indiana, United States",3 August 1946 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1946,Wikipedia — August 3,reported,social history,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,77
3,CE,1900,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-03-1900-19,event,The Firestone Tire and Rubber Company is founded.,The Firestone Tire and Rubber Company is founded,3 August 1900 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1900,Wikipedia — August 3,reported,disaster,,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,77
3,CE,1859,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-03-1859-20,event,"The American Dental Association is founded in Niagara Falls, New York.","The American Dental Association is founded in Niagara Falls, New York",3 August 1859 CE,https://en.wikipedia.org/wiki/August_3,08-03,3 August 1859,Wikipedia — August 3,reported,social history,United States,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,77
