Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Source 2 URL,Calendar date,City location,Original date,Source 1 name,Source 2 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1908,February,Both were shot dead. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-1908-11,political,Lisbon Regicide: King Carlos I of Portugal and Infante Luis Filipe are shot dead in Lisbon.,Lisbon Regicide: King Carlos I of Portugal and Infante Luis Filipe are shot dead in Lisbon.,1 February 1908 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,Lisbon,"Not separately stated; listed as February 1, 1908",Wikipedia — February 1,,exact,Lisbon Regicide,Portugal,Gregorian calendar date-page normalization,meets target,Carlos I; Infante Luis Filipe,Portuguese monarchy,national,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,1942,February,Described as the first offensive action by the United States against Japanese forces in the Pacific Theater. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,multi-regional,FEB-01-1942-12,war,"World War II: U.S. Navy conducts Marshalls–Gilberts raids, the first offensive action by the United States against Japanese forces in the Pacific Theater.","World War II: U.S. Navy conducts Marshalls–Gilberts raids, the first offensive action by the United States against Japanese forces in the Pacific Theater.",1 February 1942 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1942",Wikipedia — February 1,,exact,Marshalls–Gilberts raids,United States; Marshall Islands; Kiribati,Gregorian calendar date-page normalization,meets target,,World War II,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
1,CE,1942,February,Programs were aimed at areas controlled by the Axis powers. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,multi-regional,FEB-01-1942-13,technology,"Voice of America, the official external radio and television service of the United States government, begins broadcasting with programs aimed at areas controlled by the Axis powers.","Voice of America, the official external radio and television service of the United States government, begins broadcasting with programs aimed at areas controlled by the Axis powers.",1 February 1942 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1942",Wikipedia — February 1,,exact,Voice of America launch,United States,Gregorian calendar date-page normalization,meets target,,Voice of America,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,1946,February,Trygve Lie was selected as the first United Nations Secretary-General. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,multi-regional,FEB-01-1946-14,political,Trygve Lie of Norway is picked to be the first United Nations Secretary-General.,Trygve Lie of Norway is picked to be the first United Nations Secretary-General.,1 February 1946 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1946",Wikipedia — February 1,,exact,First UN Secretary-General,Norway,Gregorian calendar date-page normalization,meets target,Trygve Lie,United Nations,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
1,CE,1946,February,The monarchy was abolished after nine centuries. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-1946-15,political,"The Parliament of Hungary abolishes the monarchy after nine centuries, and proclaims the Hungarian Republic.","The Parliament of Hungary abolishes the monarchy after nine centuries, and proclaims the Hungarian Republic.",1 February 1946 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1946",Wikipedia — February 1,,exact,Hungarian Republic proclaimed,Hungary,Gregorian calendar date-page normalization,meets target,,Hungarian Republic,national,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,1960,February,The students staged the first of the Greensboro sit-ins at a lunch counter. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-01-1960-16,social_history,"Four black students stage the first of the Greensboro sit-ins at a lunch counter in Greensboro, North Carolina.","Four black students stage the first of the Greensboro sit-ins at a lunch counter in Greensboro, North Carolina.",1 February 1960 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,Greensboro,"Not separately stated; listed as February 1, 1960",Wikipedia — February 1,,exact,Greensboro sit-ins,United States,Gregorian calendar date-page normalization,meets target,Four black students,Civil rights movement,national,Wikipedia date-page; single-source verification,20,verified—single source,20,9
1,CE,1979,February,Khomeini returned after nearly 15 years of exile. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Middle East,FEB-01-1979-17,political,Iranian Ayatollah Ruhollah Khomeini returns to Tehran after nearly 15 years of exile.,Iranian Ayatollah Ruhollah Khomeini returns to Tehran after nearly 15 years of exile.,1 February 1979 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,Tehran,"Not separately stated; listed as February 1, 1979",Wikipedia — February 1,,exact,Khomeini returns to Iran,Iran,Gregorian calendar date-page normalization,meets target,Ruhollah Khomeini,Iranian Revolution,global,Wikipedia date-page; single-source verification,20,verified—single source,20,10
1,CE,2003,February,Columbia disintegrated during reentry; all seven astronauts aboard were killed. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,multi-regional,FEB-01-2003-18,space,"Space Shuttle Columbia disintegrated during the reentry of mission STS-107 into the Earth's atmosphere, killing all seven astronauts aboard.","Space Shuttle Columbia disintegrated during the reentry of mission STS-107 into the Earth's atmosphere, killing all seven astronauts aboard.",1 February 2003 CE,https://en.wikipedia.org/wiki/February_1,https://www.nasa.gov/mission/sts-107/,--02-01,,"Not separately stated; listed as February 1, 2003",Wikipedia — February 1,NASA — STS-107,exact,Columbia disaster,United States,Gregorian calendar date-page normalization,meets target,Seven astronauts,Space Shuttle Columbia; STS-107,global,Cross-checked with institutional/primary source,20,cross-checked,20,9
1,CE,2005,February,Gyanendra became Chairman of the Councils of Ministers. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Asia,FEB-01-2005-19,political,"King Gyanendra of Nepal carries out a coup d'état to capture the democracy, becoming Chairman of the Councils of ministers.","King Gyanendra of Nepal carries out a coup d'état to capture the democracy, becoming Chairman of the Councils of ministers.",1 February 2005 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 2005",Wikipedia — February 1,,exact,Nepalese coup,Nepal,Gregorian calendar date-page normalization,meets target,King Gyanendra,Kingdom of Nepal,national,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,2009,February,Described as Iceland's first female prime minister and the world's first openly gay head of government. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-2009-20,political,"The first cabinet of Jóhanna Sigurðardóttir was formed in Iceland, making her the country's first female prime minister and the world's first openly gay head of government.","The first cabinet of Jóhanna Sigurðardóttir was formed in Iceland, making her the country's first female prime minister and the world's first openly gay head of government.",1 February 2009 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 2009",Wikipedia — February 1,,exact,First openly gay head of government,Iceland,Gregorian calendar date-page normalization,meets target,Jóhanna Sigurðardóttir,Government of Iceland,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,506,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-0506-01,political,"Alaric II, eighth king of the Visigoths, promulgates the Breviary of Alaric (Breviarium Alaricianum or Lex Romana Visigothorum), a collection of "" Roman law"".","Alaric II, eighth king of the Visigoths, promulgates the Breviary of Alaric (Breviarium Alaricianum or Lex Romana Visigothorum), a collection of "" Roman law"".",2 February 506 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 506",Wikipedia — February 2,,exact,Roman law compilation,France; Spain,Gregorian calendar date-page normalization,meets target,Alaric II,Visigothic Kingdom,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,7
2,CE,962,February,The entry describes Otto I as the first Holy Roman Emperor in nearly 40 years. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-0962-02,political,"Translatio imperii: Pope John XII crowns Otto I, Holy Roman Emperor, the first Holy Roman Emperor in nearly 40 years.","Translatio imperii: Pope John XII crowns Otto I, Holy Roman Emperor, the first Holy Roman Emperor in nearly 40 years.",2 February 962 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 962",Wikipedia — February 2,,exact,Imperial coronation,Germany; Italy,Gregorian calendar date-page normalization,meets target,Otto I; Pope John XII,Holy Roman Empire,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
2,CE,1141,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-1141-03,war,"The Battle of Lincoln, at which Stephen, King of England is defeated and captured by the allies of Empress Matilda.","The Battle of Lincoln, at which Stephen, King of England is defeated and captured by the allies of Empress Matilda.",2 February 1141 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Lincoln,"Not separately stated; listed as February 2, 1141",Wikipedia — February 2,,exact,Battle of Lincoln,United Kingdom,Gregorian calendar date-page normalization,meets target,Stephen; Empress Matilda,English succession conflict,national,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1207,February,The entry says Terra Mariana eventually comprised present-day Latvia and Estonia. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-1207-04,independence,"Terra Mariana, eventually comprising present-day Latvia and Estonia, is established.","Terra Mariana, eventually comprising present-day Latvia and Estonia, is established.",2 February 1207 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 1207",Wikipedia — February 2,,exact,Terra Mariana established,Latvia; Estonia,Gregorian calendar date-page normalization,meets target,,Terra Mariana,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,7
2,CE,1428,February,Widespread destruction and heavy casualties were reported. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-1428-05,disaster,"An intense earthquake struck the Principality of Catalonia, with the epicenter near Camprodon. Widespread destruction and heavy casualties were reported.","An intense earthquake struck the Principality of Catalonia, with the epicenter near Camprodon. Widespread destruction and heavy casualties were reported.",2 February 1428 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Camprodon,"Not separately stated; listed as February 2, 1428",Wikipedia — February 2,,exact,Catalonia earthquake,Spain,Gregorian calendar date-page normalization,meets target,,Principality of Catalonia,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,7
2,CE,1536,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-02-1536-06,exploration,"Spaniard Pedro de Mendoza founds Buenos Aires, Argentina.","Spaniard Pedro de Mendoza founds Buenos Aires, Argentina.",2 February 1536 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Buenos Aires,"Not separately stated; listed as February 2, 1536",Wikipedia — February 2,,exact,Buenos Aires founded,Argentina,Gregorian calendar date-page normalization,meets target,Pedro de Mendoza,Buenos Aires,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1653,February,The entry identifies New Amsterdam as later renamed the City of New York. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-02-1653-07,political,New Amsterdam (later renamed The City of New York) is incorporated.,New Amsterdam (later renamed The City of New York) is incorporated.,2 February 1653 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,New York City,"Not separately stated; listed as February 2, 1653",Wikipedia — February 2,,exact,New Amsterdam incorporated,United States,Gregorian calendar date-page normalization,meets target,,New Amsterdam,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1797,February,The entry says the fall secured French control over Northern Italy and set the stage for the end of the War of the First Coalition. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-1797-08,war,"The siege of Mantua ends after eight months when Count Dagobert Sigmund von Wurmser surrenders the fortress of Mantua to Napoleon Bonaparte. The fall of Mantua secures French control over Northern Italy and marks the beginning of the conclusion of the Italian campaign of 1796-1797, and sets the stage for the end of the War of the First Coalition.","The siege of Mantua ends after eight months when Count Dagobert Sigmund von Wurmser surrenders the fortress of Mantua to Napoleon Bonaparte. The fall of Mantua secures French control over Northern Italy and marks the beginning of the conclusion of the Italian campaign of 1796-1797, and sets the stage for the end of the War of the First Coalition.",2 February 1797 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Mantua,"Not separately stated; listed as February 2, 1797",Wikipedia — February 2,,exact,Siege of Mantua ends,Italy,Gregorian calendar date-page normalization,meets target,Napoleon Bonaparte; Count Dagobert Sigmund von Wurmser,War of the First Coalition,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1848,February,The entry states that the treaty was signed. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-02-1848-09,political,Mexican–American War: The Treaty of Guadalupe Hidalgo is signed.,Mexican–American War: The Treaty of Guadalupe Hidalgo is signed.,2 February 1848 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 1848",Wikipedia — February 2,,exact,Treaty of Guadalupe Hidalgo,Mexico; United States,Gregorian calendar date-page normalization,meets target,,Mexican–American War,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
2,CE,1868,February,The castle was burned to the ground. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Asia,FEB-02-1868-10,war,Pro-Imperial forces capture Osaka Castle from the Tokugawa shogunate and burn it to the ground.,Pro-Imperial forces capture Osaka Castle from the Tokugawa shogunate and burn it to the ground.,2 February 1868 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Osaka,"Not separately stated; listed as February 2, 1868",Wikipedia — February 2,,exact,Capture of Osaka Castle,Japan,Gregorian calendar date-page normalization,meets target,,Tokugawa shogunate,national,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1876,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-02-1876-11,social_history,The National League of Professional Baseball Clubs of Major League Baseball is formed.,The National League of Professional Baseball Clubs of Major League Baseball is formed.,2 February 1876 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 1876",Wikipedia — February 2,,exact,National League founded,United States,Gregorian calendar date-page normalization,meets target,,Major League Baseball,global,Wikipedia date-page; single-source verification,20,verified—single source,20,7
2,CE,1882,February,"The entry identifies him as an Irish novelist, short story writer, and poet. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.",Europe,FEB-02-1882-20,birth,"James Joyce, Irish novelist, short story writer, and poet (died 1941)","James Joyce, Irish novelist, short story writer, and poet (died 1941)",2 February 1882 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 1882",Wikipedia — February 2,,exact,James Joyce born,Ireland,Gregorian calendar date-page normalization,meets target,James Joyce,James Joyce,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
2,CE,1899,February,The conference decided to locate Australia's capital between Sydney and Melbourne. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Oceania,FEB-02-1899-12,political,"The Australian Premiers' Conference held in Melbourne decides to locate Australia's capital city, Canberra, between Sydney and Melbourne.","The Australian Premiers' Conference held in Melbourne decides to locate Australia's capital city, Canberra, between Sydney and Melbourne.",2 February 1899 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Melbourne,"Not separately stated; listed as February 2, 1899",Wikipedia — February 2,,exact,Australian capital decision,Australia,Gregorian calendar date-page normalization,meets target,,Australian federation,national,Wikipedia date-page; single-source verification,20,verified—single source,20,7
2,CE,1913,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-02-1913-13,technology,Grand Central Terminal opens in New York City.,Grand Central Terminal opens in New York City.,2 February 1913 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,New York City,"Not separately stated; listed as February 2, 1913",Wikipedia — February 2,,exact,Grand Central Terminal opens,United States,Gregorian calendar date-page normalization,meets target,,Grand Central Terminal,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1920,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-1920-14,independence,The Tartu Peace Treaty is signed between Estonia and Russia.,The Tartu Peace Treaty is signed between Estonia and Russia.,2 February 1920 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Tartu,"Not separately stated; listed as February 2, 1920",Wikipedia — February 2,,exact,Tartu Peace Treaty,Estonia; Russia,Gregorian calendar date-page normalization,meets target,,Estonia–Russia,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1922,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-1922-15,literature_culture,Ulysses by James Joyce is published.,Ulysses by James Joyce is published.,2 February 1922 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 1922",Wikipedia — February 2,,exact,Ulysses published,Ireland,Gregorian calendar date-page normalization,meets target,James Joyce,Ulysses,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
2,CE,1925,February,The entry says the event inspired the Iditarod race. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-02-1925-16,medicine,"Serum run to Nome: Dog sleds reach Nome, Alaska with diphtheria serum, inspiring the Iditarod race.","Serum run to Nome: Dog sleds reach Nome, Alaska with diphtheria serum, inspiring the Iditarod race.",2 February 1925 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Nome,"Not separately stated; listed as February 2, 1925",Wikipedia — February 2,,exact,Nome serum run,United States,Gregorian calendar date-page normalization,meets target,,Nome serum run,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
2,CE,1943,February,The last organized German troops in the city surrendered. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-02-1943-17,war,World War II: The Battle of Stalingrad comes to an end when Soviet troops accept the surrender of the last organized German troops in the city.,World War II: The Battle of Stalingrad comes to an end when Soviet troops accept the surrender of the last organized German troops in the city.,2 February 1943 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Stalingrad,"Not separately stated; listed as February 2, 1943",Wikipedia — February 2,,exact,Battle of Stalingrad ends,Russia,Gregorian calendar date-page normalization,meets target,,World War II,global,Wikipedia date-page; single-source verification,20,verified—single source,20,10
2,CE,1971,February,The convention concerns conservation and sustainable utilization of wetlands. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Middle East,FEB-02-1971-18,political,"The international Ramsar Convention for the conservation and sustainable utilization of wetlands is signed in Ramsar, Mazandaran, Iran.","The international Ramsar Convention for the conservation and sustainable utilization of wetlands is signed in Ramsar, Mazandaran, Iran.",2 February 1971 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,Ramsar,"Not separately stated; listed as February 2, 1971",Wikipedia — February 2,,exact,Ramsar Convention signed,Iran,Gregorian calendar date-page normalization,meets target,,Ramsar Convention,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
2,CE,1990,February,The entry says F. W. de Klerk also promised to release Nelson Mandela. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Africa,FEB-02-1990-19,political,Apartheid: F. W. de Klerk announces the unbanning of the African National Congress and promises to release Nelson Mandela.,Apartheid: F. W. de Klerk announces the unbanning of the African National Congress and promises to release Nelson Mandela.,2 February 1990 CE,https://en.wikipedia.org/wiki/February_2,,--02-02,,"Not separately stated; listed as February 2, 1990",Wikipedia — February 2,,exact,ANC unbanned,South Africa,Gregorian calendar date-page normalization,meets target,F. W. de Klerk; Nelson Mandela,Apartheid,global,Wikipedia date-page; single-source verification,20,verified—single source,20,10
3,CE,1488,February,Described as the first known European to travel so far south. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Africa,FEB-03-1488-01,exploration,"Bartolomeu Dias of Portugal lands in Mossel Bay after rounding the Cape of Good Hope, becoming the first known European to travel so far south.","Bartolomeu Dias of Portugal lands in Mossel Bay after rounding the Cape of Good Hope, becoming the first known European to travel so far south.",3 February 1488 CE,https://en.wikipedia.org/wiki/February_3,,--02-03,Mossel Bay,"Not separately stated; listed as February 3, 1488",Wikipedia — February 3,,exact,Cape of Good Hope rounding,South Africa,Gregorian calendar date-page normalization,meets target,Bartolomeu Dias,Portugal,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
3,CE,1509,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Asia,FEB-03-1509-02,war,"The Portuguese navy defeats a joint fleet of the Ottoman Empire, the Republic of Venice, the Sultan of Gujarat, the Mamlûk Burji Sultanate of Egypt, the Zamorin of Calicut, and the Republic of Ragusa at the Battle of Diu in Diu, India.","The Portuguese navy defeats a joint fleet of the Ottoman Empire, the Republic of Venice, the Sultan of Gujarat, the Mamlûk Burji Sultanate of Egypt, the Zamorin of Calicut, and the Republic of Ragusa at the Battle of Diu in Diu, India.",3 February 1509 CE,https://en.wikipedia.org/wiki/February_3,,--02-03,Diu,"Not separately stated; listed as February 3, 1509",Wikipedia — February 3,,exact,Battle of Diu,India,Gregorian calendar date-page normalization,meets target,,Portuguese navy,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,8
3,CE,1637,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-03-1637-03,economics,Tulip Mania collapses within the Dutch Republic.,Tulip Mania collapses within the Dutch Republic.,3 February 1637 CE,https://en.wikipedia.org/wiki/February_3,,--02-03,,"Not separately stated; listed as February 3, 1637",Wikipedia — February 3,,exact,Tulip Mania collapse,Netherlands,Gregorian calendar date-page normalization,meets target,,Dutch Republic,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
