Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1845,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Americas,EVT-MAR-01-11-1845,political event,"On March 1, 1845, United States President John Tyler signs a bill authorizing the United States to annex the Republic of Texas. This event is included in the documented historical-events chronology for this calendar date.",United States President John Tyler signs a bill authorizing the United States to annex the Republic of Texas.,1845 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1845","Wikipedia, March 1",documented date,politics and governance,United States,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,55
1,CE,1870,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-04-1870,conflict,"On March 1, 1870, Marshal F. S. López dies during the Battle of Cerro Corá thus marking the end of the Paraguayan War. This event is included in the documented historical-events chronology for this calendar date.",Marshal F. S. López dies during the Battle of Cerro Corá thus marking the end of the Paraguayan War.,1870 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1870","Wikipedia, March 1",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,63
1,CE,1872,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-03-1872,historical event,"On March 1, 1872, Yellowstone National Park is established as the world's first national park. This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Yellowstone National Park is established as the world's first national park.,1872 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1872","Wikipedia, March 1",documented date,general history,,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,65
1,CE,1896,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-01-1896,conflict,"On March 1, 1896, Battle of Adwa: An Ethiopian army defeats an outnumbered Italian force, ending the First Italo-Ethiopian War. This event is included in the documented historical-events chronology for this calendar date.",Battle of Adwa,1896 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1896","Wikipedia, March 1",documented date,military,,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,73
1,CE,1921,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-15-1921,conflict,"On March 1, 1921, The Australian cricket team captained by Warwick Armstrong becomes the first team to complete a whitewash of The Ashes, something that would not be repeated for 86 years. This event is included in the documented historical-events chronology for this calendar date.",The Australian cricket team captained by Warwick Armstrong becomes the first team to complete a whitewash of The Ashes,1921 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1921","Wikipedia, March 1",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,51
1,CE,1941,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Europe,EVT-MAR-01-08-1941,conflict,"On March 1, 1941, World War II: Bulgaria signs the Tripartite Pact, allying itself with the Axis powers. This event is included in the documented historical-events chronology for this calendar date.",World War II,1941 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1941","Wikipedia, March 1",documented date,military,Bulgaria,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,56
1,CE,1942,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-14-1942,conflict,"On March 1, 1942, World War II: Japanese forces land on Java, the main island of the Dutch East Indies, at Merak and Banten Bay (Banten), Eretan Wetan (Indramayu) and Kragan (Rembang). This event is included in the documented historical-events chronology for this calendar date.",World War II,1942 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1942","Wikipedia, March 1",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,53
1,CE,1966,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-12-1966,discovery,"On March 1, 1966, Venera 3 Soviet space probe crashes on Venus becoming the first spacecraft to land on another planet's surface. This event is included in the documented historical-events chronology for this calendar date.",Venera 3 Soviet space probe crashes on Venus becoming the first spacecraft to land on another planet's surface.,1966 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1966","Wikipedia, March 1",documented date,science and technology,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,55
1,CE,1992,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-06-1992,political event,"On March 1, 1992, Bosnia and Herzegovina declares its independence from Socialist Federal Republic of Yugoslavia. This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Bosnia and Herzegovina declares its independence from Socialist Federal Republic of Yugoslavia.,1992 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1992","Wikipedia, March 1",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,59
2,CE,537,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-10-0537,conflict,Siege of Rome: The Ostrogoth army under king Vitiges begins the siege of the capital. Belisarius conducts a delaying action outside the Flaminian Gate; he and a detachment of his bucellarii are almost cut off.,Siege of Rome,537 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 537","Wikipedia, March 2",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,55
2,CE,986,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-16-0986,political event,"On March 2, 986, Louis V becomes the last Carolingian king of West Francia after the death of his father, Lothaire. This event is included in the documented historical-events chronology for this calendar date.",Louis V becomes the last Carolingian king of West Francia after the death of his father,986 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 986","Wikipedia, March 2",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
2,CE,1331,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-17-1331,conflict,"On March 2, 1331, Fall of Nicaea to the Ottoman Turks after a siege. This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Fall of Nicaea to the Ottoman Turks after a siege.,1331 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1331","Wikipedia, March 2",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
2,CE,1444,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-18-1444,historical event,"On March 2, 1444, Skanderbeg organizes a group of Albanian nobles to form the League of Lezhë. This event is included in the documented historical-events chronology for this calendar date.",Skanderbeg organizes a group of Albanian nobles to form the League of Lezhë.,1444 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1444","Wikipedia, March 2",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
2,CE,1458,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-19-1458,political event,"On March 2, 1458, George of Poděbrady is chosen as the king of Bohemia. This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",George of Poděbrady is chosen as the king of Bohemia.,1458 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1458","Wikipedia, March 2",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
2,CE,1476,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-02-1476,conflict,"On March 2, 1476, Burgundian Wars: The Old Swiss Confederacy hands Charles the Bold, Duke of Burgundy, a major defeat in the Battle of Grandson in Canton of Neuchâtel. This event is included in the documented historical-events chronology for this calendar date.",Burgundian Wars,1476 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1476","Wikipedia, March 2",documented date,military,,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,77
2,CE,1484,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-07-1484,political event,"On March 2, 1484, The College of Arms is formally incorporated by Royal Charter signed by King Richard III of England. This event is included in the documented historical-events chronology for this calendar date.",The College of Arms is formally incorporated by Royal Charter signed by King Richard III of England.,1484 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1484","Wikipedia, March 2",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,56
2,CE,1498,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-20-1498,historical event,"On March 2, 1498, Vasco da Gama's fleet visits the Island of Mozambique. This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Vasco da Gama's fleet visits the Island of Mozambique.,1498 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1498","Wikipedia, March 2",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
2,CE,1776,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-03-1776,conflict,American Revolutionary War: Patriot militia units attempt to prevent capture of supply ships in and around the Savannah River by a small fleet of the Royal Navy in the Battle of the Rice Boats.,American Revolutionary War,1776 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1776","Wikipedia, March 2",documented date,military,,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,72
2,CE,1811,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-01-1811,conflict,"On March 2, 1811, Argentine War of Independence: A royalist fleet defeats a small flotilla of revolutionary ships in the Battle of San Nicolás on the River Plate. This event is included in the documented historical-events chronology for this calendar date.",Argentine War of Independence,1811 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1811","Wikipedia, March 2",documented date,military,,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,93
2,CE,1815,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-06-1815,political event,"On March 2, 1815, Signing of the Kandyan Convention treaty by British invaders and the leaders of the Kingdom of Kandy. This event is included in the documented historical-events chronology for this calendar date.",Signing of the Kandyan Convention treaty by British invaders and the leaders of the Kingdom of Kandy.,1815 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1815","Wikipedia, March 2",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,57
2,CE,1836,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Americas,EVT-MAR-02-05-1836,political event,"On March 2, 1836, Texas Revolution: The Declaration of independence of the Republic of Texas from Mexico is adopted. This event is included in the documented historical-events chronology for this calendar date.",Texas Revolution,1836 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1836","Wikipedia, March 2",documented date,politics and governance,Mexico,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,66
2,CE,1882,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-15-1882,historical event,"On March 2, 1882, Queen Victoria narrowly escapes an assassination attempt by Roderick Maclean in Windsor. This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Queen Victoria narrowly escapes an assassination attempt by Roderick Maclean in Windsor.,1882 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1882","Wikipedia, March 2",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,51
2,CE,1901,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Americas,EVT-MAR-02-14-1901,political event,United States Steel Corporation is founded as a result of a merger between Carnegie Steel Company and Federal Steel Company which became the first corporation in the world with a market capital over $1 billion.,United States Steel Corporation is founded as a result of a merger between Carnegie Steel Company and Federal Steel Company which became the first corporation in the world with a m,1901 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1901","Wikipedia, March 2",documented date,politics and governance,United States,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,53
2,CE,1941,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Europe,EVT-MAR-02-08-1941,conflict,"On March 2, 1941, World War II: First German military units enter Bulgaria after it joins the Axis Pact. This event is included in the documented historical-events chronology for this calendar date.",World War II,1941 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1941","Wikipedia, March 2",documented date,military,Bulgaria,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,56
2,CE,1943,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-04-1943,conflict,"On March 2, 1943, World War II: During the Battle of the Bismarck Sea Allied aircraft defeat a Japanese attempt to ship troops to New Guinea. This event is included in the documented historical-events chronology for this calendar date.",World War II,1943 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1943","Wikipedia, March 2",documented date,military,,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,71
2,CE,1949,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-13-1949,historical event,"On March 2, 1949, Captain James Gallagher lands his B-50 Superfortress Lucky Lady II in Fort Worth, Texas, after completing the first non-stop around-the-world airplane flight in 94 hours and one minute. This event is included in the documented historical-events chronology for this calendar date.",Captain James Gallagher lands his B-50 Superfortress Lucky Lady II in Fort Worth,1949 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1949","Wikipedia, March 2",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,54
2,CE,1978,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-09-1978,discovery,"On March 2, 1978, Czech Vladimír Remek becomes the first non-Soviet or non-American to go into space, when he is launched aboard Soyuz 28. This event is included in the documented historical-events chronology for this calendar date.",Czech Vladimír Remek becomes the first non-Soviet or non-American to go into space,1978 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1978","Wikipedia, March 2",documented date,science and technology,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,56
2,CE,1991,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-02-11-1991,conflict,"On March 2, 1991, Battle at Rumaila oil field brings an end to the 1991 Gulf War. This event is included in the documented historical-events chronology for this calendar date.",Battle at Rumaila oil field brings an end to the 1991 Gulf War.,1991 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 1991","Wikipedia, March 2",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,55
2,CE,2004,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Asia,EVT-MAR-02-12-2004,conflict,"On March 2, 2004, War in Iraq: Al-Qaeda carries out the Ashoura Massacre in Iraq, killing 170 and wounding over 500. This event is included in the documented historical-events chronology for this calendar date.",War in Iraq,2004 CE,https://en.wikipedia.org/wiki/March_2,March 2,"March 2, 2004","Wikipedia, March 2",documented date,military,Iraq,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,55
3,CE,473,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-11-0473,political event,"On March 3, 473, Gundobad (nephew of Ricimer) nominates Glycerius as emperor of the Western Roman Empire. This event is included in the documented historical-events chronology for this calendar date.",Gundobad (nephew of Ricimer) nominates Glycerius as emperor of the Western Roman Empire.,473 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 473","Wikipedia, March 3",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,56
3,CE,532,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-15-0532,historical event,"On March 3, 532, Winwaloe, founder of Landévennec Abbey (born c. 460) This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Winwaloe,532 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 532","Wikipedia, March 3",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
3,CE,724,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Asia,EVT-MAR-03-16-0724,political event,"On March 3, 724, Empress Genshō abdicates the throne in favor of her nephew Shōmu who becomes emperor of Japan. This event is included in the documented historical-events chronology for this calendar date.",Empress Genshō abdicates the throne in favor of her nephew Shōmu who becomes emperor of Japan.,724 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 724","Wikipedia, March 3",documented date,politics and governance,Japan,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
3,CE,880,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-17-0880,political event,"On March 3, 880, Emperor Basil I ratifies the decrees of the Fourth Council of Constantinople, confirming the reinstatement of patriarch Photios I of Constantinople. This event is included in the documented historical-events chronology for this calendar date.",Emperor Basil I ratifies the decrees of the Fourth Council of Constantinople,880 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 880","Wikipedia, March 3",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
3,CE,1009,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-18-1009,historical event,"On March 3, 1009, Abd al-Rahman Sanchuelo, Umayyad chief minister (born 983) This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Abd al-Rahman Sanchuelo,1009 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 1009","Wikipedia, March 3",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
3,CE,1195,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-19-1195,historical event,"On March 3, 1195, Hugh de Puiset, bishop of Durham (born c. 1125) This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Hugh de Puiset,1195 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 1195","Wikipedia, March 3",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
3,CE,1239,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-20-1239,historical event,"On March 3, 1239, Vladimir IV Rurikovich, Grand Prince of Kiev (born 1187) This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Vladimir IV Rurikovich,1239 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 1239","Wikipedia, March 3",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
3,CE,1542,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-07-1542,conflict,"On March 3, 1542, Arthur Plantagenet, 1st Viscount Lisle, illegitimate son of Edward IV This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Arthur Plantagenet,1542 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 1542","Wikipedia, March 3",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,60
3,CE,1575,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-05-1575,conflict,"On March 3, 1575, Mughal Emperor Akbar defeats Sultan of Bengal Daud Khan Karrani's army at the Battle of Tukaroi. This event is included in the documented historical-events chronology for this calendar date.",Mughal Emperor Akbar defeats Sultan of Bengal Daud Khan Karrani's army at the Battle of Tukaroi.,1575 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 1575","Wikipedia, March 3",documented date,military,,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,67
3,CE,1583,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-03-08-1583,conflict,"On March 3, 1583, Edward Herbert, 1st Baron Herbert of Cherbury, English-Welsh soldier, historian, and diplomat (died 1648) This event is included in the documented historical-events chronology for this calendar date.",Edward Herbert,1583 CE,https://en.wikipedia.org/wiki/March_3,March 3,"March 3, 1583","Wikipedia, March 3",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,60
