Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1918,June,,,GHCD-06-01-1918-15,conflict,"World War I: Western Front: Battle of Belleau Wood: Allied Forces under John J. Pershing and James Harbord engage Imperial German Forces under Wilhelm, German Crown Prince.",World War I: Western Front: Battle of Belleau Wood: Allied Forces under John J,"June 1, 1918 CE",https://en.wikipedia.org/wiki/June_1,1918-06-01,"1918– World War I: Western Front: Battle of Belleau Wood: Allied Forces under John J. Pershing and James Harbord engage Imperial German Forces under Wilhelm, German Crown Prince.",Wikipedia,exact,military and conflict,,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
1,CE,1941,June,,Europe,GHCD-06-01-1941-16,conflict,World War II: The Battle of Crete ends as Crete capitulates to Germany.,World War II: The Battle of Crete ends as Crete capitulates to Germany.,"June 1, 1941 CE",https://en.wikipedia.org/wiki/June_1,1941-06-01,1941– World War II: The Battle of Crete ends as Crete capitulates to Germany.,Wikipedia,exact,military and conflict,Germany,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
1,CE,1946,June,,Europe,GHCD-06-01-1946-17,conflict,"Ion Antonescu, ""Conducator"" (""Leader"") of Romania during World War II, is executed.","Ion Antonescu, ""Conducator"" (""Leader"") of Romania during World War II, is executed.","June 1, 1946 CE",https://en.wikipedia.org/wiki/June_1,1946-06-01,"1946– Ion Antonescu, ""Conducator"" (""Leader"") of Romania during World War II, is executed.",Wikipedia,exact,military and conflict,Romania,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
1,CE,1978,June,,,GHCD-06-01-1978-18,politics,The first international applications under the Patent Cooperation Treaty are filed.,The first international applications under the Patent Cooperation Treaty are filed.,"June 1, 1978 CE",https://en.wikipedia.org/wiki/June_1,1978-06-01,1978– The first international applications under the Patent Cooperation Treaty are filed.,Wikipedia,exact,politics and law,,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
1,CE,1988,June,,,GHCD-06-01-1988-19,politics,The Intermediate-Range Nuclear Forces Treaty comes into effect.,The Intermediate-Range Nuclear Forces Treaty comes into effect.,"June 1, 1988 CE",https://en.wikipedia.org/wiki/June_1,1988-06-01,1988– The Intermediate-Range Nuclear Forces Treaty comes into effect.,Wikipedia,exact,politics and law,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1990,June,,,GHCD-06-01-1990-20,conflict,Cold War: George H. W. Bush and Mikhail Gorbachev sign a treaty to end chemical weapon production.,Cold War: George H,"June 1, 1990 CE",https://en.wikipedia.org/wiki/June_1,1990-06-01,1990– Cold War: George H. W. Bush and Mikhail Gorbachev sign a treaty to end chemical weapon production.,Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
2,CE,260,June,,,GHCD-06-02-0260-01,conflict,"Sima Zhao's regicide of Cao Mao: The figurehead Wei emperor Cao Mao personally leads an attempt to oust his regent, Sima Zhao; the attempted coup is crushed and the emperor killed.","Sima Zhao's regicide of Cao Mao: The figurehead Wei emperor Cao Mao personally leads an attempt to oust his regent, Sima Zhao; the attempted coup is crushed and the emperor killed.","June 2, 260 CE",https://en.wikipedia.org/wiki/June_2,0260-06-02,"260– Sima Zhao's regicide of Cao Mao: The figurehead Wei emperor Cao Mao personally leads an attempt to oust his regent, Sima Zhao; the attempted coup is crushed and the emperor killed.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
2,CE,1098,June,,,GHCD-06-02-1098-02,conflict,First Crusade: The first Siege of Antioch ends as Crusader forces take the city; the second siege began five days later.,First Crusade: The first Siege of Antioch ends as Crusader forces take the city; the second siege began five days later.,"June 2, 1098 CE",https://en.wikipedia.org/wiki/June_2,1098-06-02,1098– First Crusade: The first Siege of Antioch ends as Crusader forces take the city; the second siege began five days later.,Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
2,CE,1259,June,,,GHCD-06-02-1259-03,historical event,"Wedding of Manfred, King of Sicily, and Byzantine princess Helena Angelina Doukaina.","Wedding of Manfred, King of Sicily, and Byzantine princess Helena Angelina Doukaina.","June 2, 1259 CE",https://en.wikipedia.org/wiki/June_2,1259-06-02,"1259– Wedding of Manfred, King of Sicily, and Byzantine princess Helena Angelina Doukaina.",Wikipedia,exact,general history,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,79
2,CE,1608,June,,,GHCD-06-02-1608-04,politics,"The Colony of Virginia gets a charter, extending borders from ""sea to sea"".","The Colony of Virginia gets a charter, extending borders from ""sea to sea"".","June 2, 1608 CE",https://en.wikipedia.org/wiki/June_2,1608-06-02,"1608– The Colony of Virginia gets a charter, extending borders from ""sea to sea"".",Wikipedia,exact,politics and law,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,79
2,CE,1615,June,,Europe,GHCD-06-02-1615-05,historical event,"The first Récollet missionaries arrive at Quebec City, from Rouen, France.","The first Récollet missionaries arrive at Quebec City, from Rouen, France.","June 2, 1615 CE",https://en.wikipedia.org/wiki/June_2,1615-06-02,"1615– The first Récollet missionaries arrive at Quebec City, from Rouen, France.",Wikipedia,exact,general history,France,Gregorian,target met,regional,secondary reference,20,single-source verified,20,79
2,CE,1676,June,,Europe,GHCD-06-02-1676-06,conflict,Franco-Dutch War: France ensures the supremacy of its naval fleet for the remainder of the war with its victory in the Battle of Palermo.,Franco-Dutch War: France ensures the supremacy of its naval fleet for the remainder of the war with its victory in the Battle of Palermo.,"June 2, 1676 CE",https://en.wikipedia.org/wiki/June_2,1676-06-02,1676– Franco-Dutch War: France ensures the supremacy of its naval fleet for the remainder of the war with its victory in the Battle of Palermo.,Wikipedia,exact,military and conflict,France,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
2,CE,1805,June,,Europe,GHCD-06-02-1805-07,conflict,"Napoleonic Wars: A Franco- Spanish fleet recaptures from the British the island of Diamond Rock, which guards the entrance to the bay leading to Fort-de-France, Martinique.","Napoleonic Wars: A Franco- Spanish fleet recaptures from the British the island of Diamond Rock, which guards the entrance to the bay leading to Fort-de-France, Martinique.","June 2, 1805 CE",https://en.wikipedia.org/wiki/June_2,1805-06-02,"1805– Napoleonic Wars: A Franco- Spanish fleet recaptures from the British the island of Diamond Rock, which guards the entrance to the bay leading to Fort-de-France, Martinique.",Wikipedia,exact,military and conflict,France,Gregorian,target met,regional,secondary reference,20,single-source verified,20,82
2,CE,1878,June,,,GHCD-06-02-1878-08,historical event,"Nobiling assassination attempt by anarchist Karl Nobiling targeting the German Kaiser, Wilhelm I.","Nobiling assassination attempt by anarchist Karl Nobiling targeting the German Kaiser, Wilhelm I.","June 2, 1878 CE",https://en.wikipedia.org/wiki/June_2,1878-06-02,"1878– Nobiling assassination attempt by anarchist Karl Nobiling targeting the German Kaiser, Wilhelm I.",Wikipedia,exact,general history,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
2,CE,1910,June,,,GHCD-06-02-1910-09,historical event,"Charles Rolls, a co-founder of Rolls-Royce Limited, becomes the first man to make a non-stop double crossing of the English Channel by plane.","Charles Rolls, a co-founder of Rolls-Royce Limited, becomes the first man to make a non-stop double crossing of the English Channel by plane.","June 2, 1910 CE",https://en.wikipedia.org/wiki/June_2,1910-06-02,"1910– Charles Rolls, a co-founder of Rolls-Royce Limited, becomes the first man to make a non-stop double crossing of the English Channel by plane.",Wikipedia,exact,general history,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
2,CE,1924,June,,North America,GHCD-06-02-1924-10,politics,"U.S. President Calvin Coolidge signs the Indian Citizenship Act into law, granting citizenship to all Native Americans born within the territorial limits of the United States.",U.S,"June 2, 1924 CE",https://en.wikipedia.org/wiki/June_2,1924-06-02,"1924– U.S. President Calvin Coolidge signs the Indian Citizenship Act into law, granting citizenship to all Native Americans born within the territorial limits of the United States.",Wikipedia,exact,politics and law,United States,Gregorian,target met,regional,secondary reference,20,single-source verified,20,82
2,CE,1941,June,,,GHCD-06-02-1941-11,conflict,World War II: German paratroopers murder Greek civilians in the villages of Kondomari and Alikianos.,World War II: German paratroopers murder Greek civilians in the villages of Kondomari and Alikianos.,"June 2, 1941 CE",https://en.wikipedia.org/wiki/June_2,1941-06-02,1941– World War II: German paratroopers murder Greek civilians in the villages of Kondomari and Alikianos.,Wikipedia,exact,military and conflict,,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
2,CE,1946,June,Date described as approximate by source.,Europe,GHCD-06-02-1946-12,politics,"Birth of the Italian Republic: In a referendum, Italians vote to turn Italy from a monarchy into a Republic. After the referendum, King Umberto II of Italy is exiled.","Birth of the Italian Republic: In a referendum, Italians vote to turn Italy from a monarchy into a Republic","June 2, 1946 CE",https://en.wikipedia.org/wiki/June_2,1946-06-02,"1946– Birth of the Italian Republic: In a referendum, Italians vote to turn Italy from a monarchy into a Republic. After the referendum, King Umberto II of Italy is exiled.",Wikipedia,approximate,politics and law,Italy,Gregorian,target met,regional,secondary reference,20,single-source verified,20,82
2,CE,1953,June,,,GHCD-06-02-1953-13,historical event,"The coronation of Queen Elizabeth II at Westminster Abbey becomes the first British coronation, and one of the first major international events, to be televised.","The coronation of Queen Elizabeth II at Westminster Abbey becomes the first British coronation, and one of the first major international events, to be televised.","June 2, 1953 CE",https://en.wikipedia.org/wiki/June_2,1953-06-02,"1953– The coronation of Queen Elizabeth II at Westminster Abbey becomes the first British coronation, and one of the first major international events, to be televised.",Wikipedia,exact,general history,,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
2,CE,1955,June,,,GHCD-06-02-1955-14,politics,"The USSR and Yugoslavia sign the Belgrade declaration and thus normalize relations between the two countries, discontinued since 1948.","The USSR and Yugoslavia sign the Belgrade declaration and thus normalize relations between the two countries, discontinued since 1948.","June 2, 1955 CE",https://en.wikipedia.org/wiki/June_2,1955-06-02,"1955– The USSR and Yugoslavia sign the Belgrade declaration and thus normalize relations between the two countries, discontinued since 1948.",Wikipedia,exact,politics and law,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
2,CE,1958,June,,,GHCD-06-02-1958-15,science and technology,"Aeronaves de México Flight 111 crashes on approach to Guadalajara International Airport, killing 45.","Aeronaves de México Flight 111 crashes on approach to Guadalajara International Airport, killing 45.","June 2, 1958 CE",https://en.wikipedia.org/wiki/June_2,1958-06-02,"1958– Aeronaves de México Flight 111 crashes on approach to Guadalajara International Airport, killing 45.",Wikipedia,exact,science and technology,,Gregorian,target met,international,secondary reference,20,single-source verified,20,82
2,CE,1966,June,,,GHCD-06-02-1966-16,science and technology,"Surveyor program: Surveyor 1 lands in Oceanus Procellarum on the Moon, becoming the first U.S. spacecraft to soft-land on another world.","Surveyor program: Surveyor 1 lands in Oceanus Procellarum on the Moon, becoming the first U.S","June 2, 1966 CE",https://en.wikipedia.org/wiki/June_2,1966-06-02,"1966– Surveyor program: Surveyor 1 lands in Oceanus Procellarum on the Moon, becoming the first U.S. spacecraft to soft-land on another world.",Wikipedia,exact,science and technology,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
2,CE,1967,June,,Asia,GHCD-06-02-1967-17,historical event,"Protests in West Berlin against the arrival of the Shah of Iran are brutally suppressed, during which Benno Ohnesorg is killed by a police officer. His death results in the founding of the terrorist group 2 June Movement.","Protests in West Berlin against the arrival of the Shah of Iran are brutally suppressed, during which Benno Ohnesorg is killed by a police officer","June 2, 1967 CE",https://en.wikipedia.org/wiki/June_2,1967-06-02,"1967– Protests in West Berlin against the arrival of the Shah of Iran are brutally suppressed, during which Benno Ohnesorg is killed by a police officer. His death results in the founding of the terrorist group 2 June Movement.",Wikipedia,exact,general history,Iran,Gregorian,target met,regional,secondary reference,20,single-source verified,20,82
2,CE,1979,June,,Europe,GHCD-06-02-1979-18,historical event,"Pope John Paul II starts his first official visit to his native Poland, becoming the first Pope to visit a Communist country.","Pope John Paul II starts his first official visit to his native Poland, becoming the first Pope to visit a Communist country.","June 2, 1979 CE",https://en.wikipedia.org/wiki/June_2,1979-06-02,"1979– Pope John Paul II starts his first official visit to his native Poland, becoming the first Pope to visit a Communist country.",Wikipedia,exact,general history,Poland,Gregorian,target met,regional,secondary reference,20,single-source verified,20,82
2,CE,1998,June,,,GHCD-06-02-1998-19,science and technology,"Space Shuttle Discovery is launched on STS-91, the final mission of the Shuttle-Mir program.","Space Shuttle Discovery is launched on STS-91, the final mission of the Shuttle-Mir program.","June 2, 1998 CE",https://en.wikipedia.org/wiki/June_2,1998-06-02,"1998– Space Shuttle Discovery is launched on STS-91, the final mission of the Shuttle-Mir program.",Wikipedia,exact,science and technology,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
2,CE,2003,June,,,GHCD-06-02-2003-20,science and technology,"Europe launches its first voyage to another planet, Mars. The European Space Agency's Mars Express probe launches from the Baikonur space center in Kazakhstan.","Europe launches its first voyage to another planet, Mars","June 2, 2003 CE",https://en.wikipedia.org/wiki/June_2,2003-06-02,"2003– Europe launches its first voyage to another planet, Mars. The European Space Agency's Mars Express probe launches from the Baikonur space center in Kazakhstan.",Wikipedia,exact,science and technology,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
3,CE,350,June,,,GHCD-06-03-0350-01,historical event,"The Roman usurper Nepotianus, of the Constantinian dynasty, proclaims himself Roman emperor, entering Rome at the head of a group of gladiators.","The Roman usurper Nepotianus, of the Constantinian dynasty, proclaims himself Roman emperor, entering Rome at the head of a group of gladiators.","June 3, 350 CE",https://en.wikipedia.org/wiki/June_3,0350-06-03,"350– The Roman usurper Nepotianus, of the Constantinian dynasty, proclaims himself Roman emperor, entering Rome at the head of a group of gladiators.",Wikipedia,exact,general history,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,79
3,CE,713,June,,,GHCD-06-03-0713-02,conflict,"The Byzantine emperor Philippicus is blinded, deposed and sent into exile by conspirators of the Opsikion army in Thrace. He is succeeded by Anastasios II, who begins the reorganization of the Byzantine army.","The Byzantine emperor Philippicus is blinded, deposed and sent into exile by conspirators of the Opsikion army in Thrace","June 3, 713 CE",https://en.wikipedia.org/wiki/June_3,0713-06-03,"713– The Byzantine emperor Philippicus is blinded, deposed and sent into exile by conspirators of the Opsikion army in Thrace. He is succeeded by Anastasios II, who begins the reorganization of the Byzantine army.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,79
3,CE,1839,June,,Asia,GHCD-06-03-1839-03,conflict,"In Humen, China, Lin Zexu destroys 1.2 million kilograms of opium confiscated from British merchants, providing Britain with a *casus belli* to open hostilities, resulting in the First Opium War.","In Humen, China, Lin Zexu destroys 1.2 million kilograms of opium confiscated from British merchants, providing Britain with a *casus belli* to open hostilities, resulting in th...","June 3, 1839 CE",https://en.wikipedia.org/wiki/June_3,1839-06-03,"1839– In Humen, China, Lin Zexu destroys 1.2 million kilograms of opium confiscated from British merchants, providing Britain with a *casus belli* to open hostilities, resulting in the First Opium War.",Wikipedia,exact,military and conflict,China,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
3,CE,1861,June,,,GHCD-06-03-1861-04,conflict,"American Civil War: Battle of Philippi (also called the Philippi Races): Union forces rout Confederate troops in Barbour County, Virginia, now West Virginia.","American Civil War: Battle of Philippi (also called the Philippi Races): Union forces rout Confederate troops in Barbour County, Virginia, now West Virginia.","June 3, 1861 CE",https://en.wikipedia.org/wiki/June_3,1861-06-03,"1861– American Civil War: Battle of Philippi (also called the Philippi Races): Union forces rout Confederate troops in Barbour County, Virginia, now West Virginia.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
3,CE,1863,June,,,GHCD-06-03-1863-05,conflict,"American Civil War: Robert E. Lee and his Army of Northern Virginia begin marching to invade the North for a second time, starting the Gettysburg campaign.",American Civil War: Robert E,"June 3, 1863 CE",https://en.wikipedia.org/wiki/June_3,1863-06-03,"1863– American Civil War: Robert E. Lee and his Army of Northern Virginia begin marching to invade the North for a second time, starting the Gettysburg campaign.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
3,CE,1864,June,,,GHCD-06-03-1864-06,conflict,"American Civil War: Union forces under Ulysses S. Grant sustain heavy casualties attacking Confederate troops under Robert E. Lee at the Battle of Cold Harbor in Hanover County, Virginia.",American Civil War: Union forces under Ulysses S,"June 3, 1864 CE",https://en.wikipedia.org/wiki/June_3,1864-06-03,"1864– American Civil War: Union forces under Ulysses S. Grant sustain heavy casualties attacking Confederate troops under Robert E. Lee at the Battle of Cold Harbor in Hanover County, Virginia.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
3,CE,1889,June,,North America,GHCD-06-03-1889-07,historical event,"The first long-distance electric power transmission line in the United States is completed, running 14 miles (23 km) between a generator at Willamette Falls and downtown Portland, Oregon.","The first long-distance electric power transmission line in the United States is completed, running 14 miles (23 km) between a generator at Willamette Falls and downtown Portlan...","June 3, 1889 CE",https://en.wikipedia.org/wiki/June_3,1889-06-03,"1889– The first long-distance electric power transmission line in the United States is completed, running 14 miles (23 km) between a generator at Willamette Falls and downtown Portland, Oregon.",Wikipedia,exact,general history,United States,Gregorian,target met,regional,secondary reference,20,single-source verified,20,82
3,CE,1892,June,Date described as approximate by source.,,GHCD-06-03-1892-08,historical event,Liverpool F.C. is founded by John Houlding.,Liverpool F.C,"June 3, 1892 CE",https://en.wikipedia.org/wiki/June_3,1892-06-03,1892– Liverpool F.C. is founded by John Houlding.,Wikipedia,approximate,general history,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
3,CE,1916,June,,North America,GHCD-06-03-1916-09,politics,"The National Defense Act is signed into law, increasing the size of the United States National Guard by 450,000 men.","The National Defense Act is signed into law, increasing the size of the United States National Guard by 450,000 men.","June 3, 1916 CE",https://en.wikipedia.org/wiki/June_3,1916-06-03,"1916– The National Defense Act is signed into law, increasing the size of the United States National Guard by 450,000 men.",Wikipedia,exact,politics and law,United States,Gregorian,target met,regional,secondary reference,20,single-source verified,20,82
3,CE,1937,June,,Europe,GHCD-06-03-1937-10,conflict,The Duke of Windsor (the former King Edward VIII of the United Kingdom) marries Wallis Simpson.,The Duke of Windsor (the former King Edward VIII of the United Kingdom) marries Wallis Simpson.,"June 3, 1937 CE",https://en.wikipedia.org/wiki/June_3,1937-06-03,1937– The Duke of Windsor (the former King Edward VIII of the United Kingdom) marries Wallis Simpson.,Wikipedia,exact,military and conflict,United Kingdom,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
3,CE,1940,June,,Europe,GHCD-06-03-1940-11,conflict,"World War II: During the Battle of France, the Luftwaffe bombs Paris.","World War II: During the Battle of France, the Luftwaffe bombs Paris.","June 3, 1940 CE",https://en.wikipedia.org/wiki/June_3,1940-06-03,"1940– World War II: During the Battle of France, the Luftwaffe bombs Paris.",Wikipedia,exact,military and conflict,France,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
3,CE,1940,June,,,GHCD-06-03-1940-12,historical event,"Franz Rademacher proposes plans to make Madagascar the ""Jewish homeland"", an idea that had first been considered by 19th century journalist Theodor Herzl.","Franz Rademacher proposes plans to make Madagascar the ""Jewish homeland"", an idea that had first been considered by 19th century journalist Theodor Herzl.","June 3, 1940 CE",https://en.wikipedia.org/wiki/June_3,1940-06-03,"1940– Franz Rademacher proposes plans to make Madagascar the ""Jewish homeland"", an idea that had first been considered by 19th century journalist Theodor Herzl.",Wikipedia,exact,general history,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
3,CE,1941,June,,,GHCD-06-03-1941-13,conflict,World War II: The Wehrmacht razes the Greek village of Kandanos to the ground and murders 180 of its inhabitants.,World War II: The Wehrmacht razes the Greek village of Kandanos to the ground and murders 180 of its inhabitants.,"June 3, 1941 CE",https://en.wikipedia.org/wiki/June_3,1941-06-03,1941– World War II: The Wehrmacht razes the Greek village of Kandanos to the ground and murders 180 of its inhabitants.,Wikipedia,exact,military and conflict,,Gregorian,target met,international,secondary reference,20,single-source verified,20,95
