Day,Era,Year,Month,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
2,CE,1917,April,North America,GHC-APR-0011,political,President Wilson asks the U.S. Congress for a declaration of war on Germany.,Wilson requests war declaration,"April 2, 1917 CE",https://en.wikipedia.org/wiki/April_2,1917-04-02,"Washington, D.C.","April 2, 1917",Wikipedia — April 2,exact,World War I,United States,Gregorian,evidence-based partial coverage,Woodrow Wilson,United States,regional,secondary source; page cites references,20,verified against dated source entry,6,8
2,CE,1982,April,South America,GHC-APR-0012,military,"Argentina invades the Falkland Islands, beginning the Falklands War.",Argentina invades the Falkland Islands,"April 2, 1982 CE",https://en.wikipedia.org/wiki/April_2,1982-04-02,Falkland Islands,"April 2, 1982",Wikipedia — April 2,exact,Territorial conflict,Argentina,Gregorian,evidence-based partial coverage,,Argentina,regional,secondary source; page cites references,20,verified against dated source entry,6,8
3,CE,1559,April,Europe,GHC-APR-0013,political,"The second of two treaties making up the Peace of Cateau-Cambrésis is signed, ending the Italian Wars.",Peace of Cateau-Cambrésis,"April 3, 1559 CE",https://en.wikipedia.org/wiki/April_3,1559-04-03,Cateau-Cambrésis,"April 3, 1559",Wikipedia — April 3,exact,treaty,France,Gregorian,evidence-based partial coverage,,Peace of Cateau-Cambrésis,regional,secondary source; page cites references,20,verified against dated source entry,6,8
3,CE,1721,April,Europe,GHC-APR-0014,political,"Robert Walpole becomes, in effect, the first Prime Minister of Great Britain, though he himself denied that title.",Walpole Becomes Prime Minister,"April 3, 1721 CE",https://en.wikipedia.org/wiki/April_3,1721-04-03,,"April 3, 1721",Wikipedia — April 3,exact,government,United Kingdom,Gregorian,evidence-based partial coverage,Robert Walpole,Great Britain,regional,secondary source; page cites references,20,verified against dated source entry,6,8
3,CE,1865,April,North America,GHC-APR-0015,military,"Union forces capture Richmond, Virginia, the capital of the Confederate States of America.",Capture of Richmond,"April 3, 1865 CE",https://en.wikipedia.org/wiki/April_3,1865-04-03,Richmond,"April 3, 1865",Wikipedia — April 3,exact,American Civil War,United States,Gregorian,evidence-based partial coverage,,Confederate States of America,regional,secondary source; page cites references,20,verified against dated source entry,6,8
3,CE,1885,April,Europe,GHC-APR-0016,science_technology,"Gottlieb Daimler is granted a German patent for a light, high-speed, four-stroke engine, which he uses seven months later to create the world's first motorcycle, the Daimler Reitwagen.",Daimler Engine Patent,"April 3, 1885 CE",https://en.wikipedia.org/wiki/April_3,1885-04-03,,"April 3, 1885",Wikipedia — April 3,exact,automotive technology,Germany,Gregorian,evidence-based partial coverage,Gottlieb Daimler,Daimler Reitwagen,regional,secondary source; page cites references,20,verified against dated source entry,6,8
3,CE,1948,April,Global,GHC-APR-0017,economic,"U.S. President Harry S. Truman signs the Marshall Plan, authorizing $5 billion in aid for 16 countries.",Marshall Plan Authorized,"April 3, 1948 CE",https://en.wikipedia.org/wiki/April_3,1948-04-03,"Washington, D.C.","April 3, 1948",Wikipedia — April 3,exact,foreign aid,United States,Gregorian,evidence-based partial coverage,Harry S. Truman,Marshall Plan,global,secondary source; page cites references,20,verified against dated source entry,6,9
3,CE,1973,April,North America,GHC-APR-0018,science_technology,Martin Cooper of Motorola makes the first handheld mobile phone call to Joel S. Engel of Bell Labs.,First Handheld Mobile Phone Call,"April 3, 1973 CE",https://en.wikipedia.org/wiki/April_3,1973-04-03,,"April 3, 1973",Wikipedia — April 3,exact,telecommunications,United States,Gregorian,evidence-based partial coverage,Martin Cooper; Joel S. Engel,Motorola,regional,secondary source; page cites references,20,verified against dated source entry,6,8
4,CE,1581,April,Europe,GHC-APR-0019,exploration,Francis Drake is knighted by Queen Elizabeth I for completing a circumnavigation of the world.,Drake knighted after circumnavigation,"April 4, 1581 CE",https://en.wikipedia.org/wiki/April_4,1581-04-04,,"April 4, 1581",Wikipedia — April 4,exact,Circumnavigation,United Kingdom,Gregorian,evidence-based partial coverage,Francis Drake; Queen Elizabeth I,Francis Drake,regional,secondary source; page cites references,20,verified against dated source entry,6,8
4,CE,1814,April,Europe,GHC-APR-0020,political,Napoleon abdicates conditionally for the first time and names his son Napoleon II as Emperor of the French.,Napoleon's first abdication,"April 4, 1814 CE",https://en.wikipedia.org/wiki/April_4,1814-04-04,,"April 4, 1814",Wikipedia — April 4,exact,Abdication,France,Gregorian,evidence-based partial coverage,Napoleon; Napoleon II,First French Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
4,CE,1887,April,North America,GHC-APR-0021,social,"Argonia, Kansas elects Susanna M. Salter as the first female mayor in the United States.",Susanna M. Salter elected mayor,"April 4, 1887 CE",https://en.wikipedia.org/wiki/April_4,1887-04-04,Argonia,"April 4, 1887",Wikipedia — April 4,exact,Women's political representation,United States,Gregorian,evidence-based partial coverage,Susanna M. Salter,Argonia,regional,secondary source; page cites references,20,verified against dated source entry,6,8
4,CE,1949,April,Europe,GHC-APR-0022,political,Twelve nations sign the North Atlantic Treaty creating the North Atlantic Treaty Organization.,North Atlantic Treaty signed,"April 4, 1949 CE",https://en.wikipedia.org/wiki/April_4,1949-04-04,,"April 4, 1949",Wikipedia — April 4,exact,International alliance,,Gregorian,evidence-based partial coverage,,North Atlantic Treaty Organization,regional,secondary source; page cites references,20,verified against dated source entry,6,8
4,CE,1968,April,North America,GHC-APR-0023,social,"Martin Luther King Jr. is assassinated by James Earl Ray at a motel in Memphis, Tennessee.",Martin Luther King Jr. assassinated,"April 4, 1968 CE",https://en.wikipedia.org/wiki/April_4,1968-04-04,Memphis,"April 4, 1968",Wikipedia — April 4,exact,Civil rights,United States,Gregorian,evidence-based partial coverage,Martin Luther King Jr.; James Earl Ray,Civil rights movement,regional,secondary source; page cites references,20,verified against dated source entry,6,8
4,CE,2002,April,Africa,GHC-APR-0024,political,The MPLA government of Angola and UNITA rebels sign a peace treaty ending the Angolan Civil War.,Angolan Civil War peace treaty,"April 4, 2002 CE",https://en.wikipedia.org/wiki/April_4,2002-04-04,,"April 4, 2002",Wikipedia — April 4,exact,Peace agreement,Angola,Gregorian,evidence-based partial coverage,,Angolan Civil War,regional,secondary source; page cites references,20,verified against dated source entry,6,8
5,CE,1242,April,Europe,GHC-APR-0025,military,Russian forces led by Alexander Nevsky rebuffed an invasion attempt by the Teutonic Knights during the Battle on the Ice of Lake Peipus.,Battle on the Ice,"April 5, 1242 CE",https://en.wikipedia.org/wiki/April_5,1242-04-05,Lake Peipus,"April 5, 1242",Wikipedia — April 5,exact,medieval battle,Russia,Gregorian,evidence-based partial coverage,Alexander Nevsky,Russian forces; Teutonic Knights,regional,secondary source; page cites references,20,verified against dated source entry,6,8
5,CE,1792,April,North America,GHC-APR-0026,political,United States President George Washington exercised his authority to veto a bill for the first time in United States history.,First U.S. Presidential Veto,"April 5, 1792 CE",https://en.wikipedia.org/wiki/April_5,1792-04-05,,"April 5, 1792",Wikipedia — April 5,exact,constitutional government,United States,Gregorian,evidence-based partial coverage,George Washington,United States,regional,secondary source; page cites references,20,verified against dated source entry,6,8
5,CE,1818,April,South America,GHC-APR-0027,military,"Chile's independence movement, led by Bernardo O'Higgins and José de San Martín, won a decisive victory over Spain, leaving 2,000 Spaniards and 1,000 Chilean patriots dead.",Battle of Maipú,"April 5, 1818 CE",https://en.wikipedia.org/wiki/April_5,1818-04-05,Maipú,"April 5, 1818",Wikipedia — April 5,exact,war of independence,Chile,Gregorian,evidence-based partial coverage,Bernardo O'Higgins; José de San Martín,Chile; Spain,regional,secondary source; page cites references,20,verified against dated source entry,6,8
5,CE,1936,April,North America,GHC-APR-0028,disaster,"An F5 tornado in Tupelo, Mississippi, killed 233 people during the Tupelo–Gainesville tornado outbreak.",Tupelo Tornado,"April 5, 1936 CE",https://en.wikipedia.org/wiki/April_5,1936-04-05,"Tupelo, Mississippi","April 5, 1936",Wikipedia — April 5,exact,tornado,United States,Gregorian,evidence-based partial coverage,,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
5,CE,1942,April,Asia,GHC-APR-0029,military,"The Imperial Japanese Navy launched a carrier-based air attack on Colombo, damaging port and civilian facilities and sinking HMS Cornwall and HMS Dorsetshire southwest of Ceylon.",Attack on Colombo,"April 5, 1942 CE",https://en.wikipedia.org/wiki/April_5,1942-04-05,Colombo,"April 5, 1942",Wikipedia — April 5,exact,World War II naval raid,Sri Lanka,Gregorian,evidence-based partial coverage,,Imperial Japanese Navy; Royal Navy,regional,secondary source; page cites references,20,verified against dated source entry,6,8
5,CE,1992,April,South America,GHC-APR-0030,political,Peruvian president Alberto Fujimori dissolved the Peruvian congress by military force.,Fujimori Dissolves Congress,"April 5, 1992 CE",https://en.wikipedia.org/wiki/April_5,1992-04-05,Lima,"April 5, 1992",Wikipedia — April 5,exact,constitutional crisis,Peru,Gregorian,evidence-based partial coverage,Alberto Fujimori,Peru,regional,secondary source; page cites references,20,verified against dated source entry,6,8
6,CE,1453,April,Europe,GHC-APR-0031,military,"Mehmed II begins his siege of Constantinople, which falls on May 29 and is renamed Istanbul.",Siege of Constantinople begins,"April 6, 1453 CE",https://en.wikipedia.org/wiki/April_6,1453-04-06,Constantinople,"April 6, 1453",Wikipedia — April 6,exact,conquest,Turkey,Gregorian,evidence-based partial coverage,Mehmed II,Byzantine Empire; Ottoman Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
6,CE,1652,April,Africa,GHC-APR-0032,exploration,Jan van Riebeeck establishes a resupply camp at the Cape of Good Hope that eventually becomes Cape Town.,Dutch resupply camp established at the Cape,"April 6, 1652 CE",https://en.wikipedia.org/wiki/April_6,1652-04-06,Cape Town,"April 6, 1652",Wikipedia — April 6,exact,colonization,South Africa,Gregorian,evidence-based partial coverage,Jan van Riebeeck,Dutch East India Company,regional,secondary source; page cites references,20,verified against dated source entry,6,8
6,CE,1776,April,North America,GHC-APR-0033,military,Ships of the Continental Navy fail in their attempt to capture a Royal Navy dispatch boat.,Continental Navy attack fails,"April 6, 1776 CE",https://en.wikipedia.org/wiki/April_6,1776-04-06,,"April 6, 1776",Wikipedia — April 6,exact,American Revolutionary War,United States,Gregorian,evidence-based partial coverage,,Continental Navy,regional,secondary source; page cites references,20,verified against dated source entry,6,8
6,CE,1896,April,Europe,GHC-APR-0034,cultural,"The opening of the first modern Olympic Games is celebrated in Athens, 1,500 years after the original games were banned by Roman emperor Theodosius I.",First modern Olympic Games open,"April 6, 1896 CE",https://en.wikipedia.org/wiki/April_6,1896-04-06,Athens,"April 6, 1896",Wikipedia — April 6,exact,sport,Greece,Gregorian,evidence-based partial coverage,Theodosius I,Olympic Games,global,secondary source; page cites references,20,verified against dated source entry,6,9
6,CE,1917,April,North America,GHC-APR-0035,political,"During World War I, the United States declares war on Germany.",United States declares war on Germany,"April 6, 1917 CE",https://en.wikipedia.org/wiki/April_6,1917-04-06,"Washington, D.C.","April 6, 1917",Wikipedia — April 6,exact,war declaration,United States,Gregorian,evidence-based partial coverage,,United States; German Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
6,CE,1965,April,Global,GHC-APR-0036,science_technology,Early Bird is launched as the first commercial communications satellite to be placed in geosynchronous orbit.,Early Bird communications satellite launched,"April 6, 1965 CE",https://en.wikipedia.org/wiki/April_6,1965-04-06,,"April 6, 1965",Wikipedia — April 6,exact,space communications,,Gregorian,evidence-based partial coverage,,Early Bird,global,secondary source; page cites references,20,verified against dated source entry,6,9
7,CE,529,April,Europe,GHC-APR-0037,political,"The first Corpus Juris Civilis, a fundamental work in jurisprudence, is issued by Eastern Roman Emperor Justinian I.",Corpus Juris Civilis issued,"April 7, 529 CE",https://en.wikipedia.org/wiki/April_7,0529-04-07,,"April 7, 529",Wikipedia — April 7,exact,law,Turkey,Gregorian,evidence-based partial coverage,Justinian I,Eastern Roman Empire,regional,secondary source; page cites references,20,verified against dated source entry,5,8
7,CE,1141,April,Europe,GHC-APR-0038,political,"Empress Matilda becomes the first female ruler of England, adopting the title ""Lady of the English"".",Matilda becomes Lady of the English,"April 7, 1141 CE",https://en.wikipedia.org/wiki/April_7,1141-04-07,,"April 7, 1141",Wikipedia — April 7,exact,monarchy,United Kingdom,Gregorian,evidence-based partial coverage,Empress Matilda,Kingdom of England,regional,secondary source; page cites references,20,verified against dated source entry,5,8
7,CE,1724,April,Europe,GHC-APR-0039,cultural,"Bach's St John Passion, BWV 245, receives its premiere performance at St. Nicholas Church in Leipzig.",Premiere of Bach's St John Passion,"April 7, 1724 CE",https://en.wikipedia.org/wiki/April_7,1724-04-07,Leipzig,"April 7, 1724",Wikipedia — April 7,exact,music,Germany,Gregorian,evidence-based partial coverage,Johann Sebastian Bach,,regional,secondary source; page cites references,20,verified against dated source entry,5,8
7,CE,1862,April,North America,GHC-APR-0040,military,"The Union's Army of the Tennessee and Army of the Ohio defeat the Confederate Army of Mississippi near Shiloh, Tennessee.",Union victory at Shiloh,"April 7, 1862 CE",https://en.wikipedia.org/wiki/April_7,1862-04-07,Shiloh,"April 7, 1862",Wikipedia — April 7,exact,battle,United States,Gregorian,evidence-based partial coverage,,American Civil War,regional,secondary source; page cites references,20,verified against dated source entry,5,8
7,CE,1948,April,Global,GHC-APR-0041,political,The World Health Organization is established by the United Nations.,World Health Organization established,"April 7, 1948 CE",https://en.wikipedia.org/wiki/April_7,1948-04-07,Geneva,"April 7, 1948",Wikipedia — April 7,exact,international organization,Switzerland,Gregorian,evidence-based partial coverage,,World Health Organization,global,secondary source; page cites references,20,verified against dated source entry,5,9
8,CE,1250,April,Middle East,GHC-APR-0042,military,Ayyubids of Egypt capture King Louis IX of France in the Battle of Fariskur.,Battle of Fariskur,"April 8, 1250 CE",https://en.wikipedia.org/wiki/April_8,1250-04-08,Fariskur,"April 8, 1250",Wikipedia — April 8,exact,Crusades,Egypt,Gregorian,evidence-based partial coverage,Louis IX of France,Ayyubids of Egypt; Seventh Crusade,regional,secondary source; page cites references,20,verified against dated source entry,6,8
8,CE,1812,April,Europe,GHC-APR-0043,political,Czar Alexander I officially announces the transfer of the status of the Finnish capital from Turku to Helsinki.,Finnish Capital Transfer,"April 8, 1812 CE",https://en.wikipedia.org/wiki/April_8,1812-04-08,Helsinki; Turku,"April 8, 1812",Wikipedia — April 8,exact,capital relocation,Finland,Gregorian,evidence-based partial coverage,Alexander I,Grand Duchy of Finland,regional,secondary source; page cites references,20,verified against dated source entry,6,8
8,CE,1820,April,Europe,GHC-APR-0044,cultural,The Venus de Milo is discovered on the Aegean island of Milos.,Discovery of the Venus de Milo,"April 8, 1820 CE",https://en.wikipedia.org/wiki/April_8,1820-04-08,Milos,"April 8, 1820",Wikipedia — April 8,exact,art discovery,Greece,Gregorian,evidence-based partial coverage,,Venus de Milo,regional,secondary source; page cites references,20,verified against dated source entry,6,8
8,CE,1904,April,Europe,GHC-APR-0045,political,The French Third Republic and the United Kingdom of Great Britain and Ireland sign the Entente cordiale.,Entente Cordiale,"April 8, 1904 CE",https://en.wikipedia.org/wiki/April_8,1904-04-08,,"April 8, 1904",Wikipedia — April 8,exact,international relations,France; United Kingdom,Gregorian,evidence-based partial coverage,,French Third Republic; United Kingdom of Great Britain and Ireland,regional,secondary source; page cites references,20,verified against dated source entry,6,8
8,CE,1959,April,North America,GHC-APR-0046,science_technology,"A team of computer manufacturers, users, and university people led by Grace Hopper meets to discuss the creation of a new programming language that would be called COBOL.",COBOL Planning Meeting,"April 8, 1959 CE",https://en.wikipedia.org/wiki/April_8,1959-04-08,,"April 8, 1959",Wikipedia — April 8,exact,programming language,United States,Gregorian,evidence-based partial coverage,Grace Hopper,COBOL,regional,secondary source; page cites references,20,verified against dated source entry,6,8
8,CE,2005,April,Global,GHC-APR-0047,science_technology,"A solar eclipse occurs, visible over areas of the Pacific Ocean and Latin American countries such as Costa Rica, Panama, Colombia and Venezuela.",Solar Eclipse of 2005,"April 8, 2005 CE",https://en.wikipedia.org/wiki/April_8,2005-04-08,,"April 8, 2005",Wikipedia — April 8,exact,astronomical event,Costa Rica; Panama; Colombia; Venezuela,Gregorian,evidence-based partial coverage,,,global,secondary source; page cites references,20,verified against dated source entry,6,9
9,CE,1241,April,Europe,GHC-APR-0048,military,Mongol forces defeated the Polish and German armies at the Battle of Liegnitz.,Battle of Liegnitz,"April 9, 1241 CE",https://en.wikipedia.org/wiki/April_9,1241-04-09,Liegnitz,"April 9, 1241",Wikipedia — April 9,exact,Mongol invasions,Poland,Gregorian,evidence-based partial coverage,,Mongol Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
9,CE,1682,April,North America,GHC-APR-0049,exploration,"Robert Cavelier de La Salle discovered the mouth of the Mississippi River, claimed it for France, and named it Louisiana.",La Salle Claims Louisiana,"April 9, 1682 CE",https://en.wikipedia.org/wiki/April_9,1682-04-09,,"April 9, 1682",Wikipedia — April 9,exact,Colonial exploration,United States,Gregorian,evidence-based partial coverage,Robert Cavelier de La Salle,France,regional,secondary source; page cites references,20,verified against dated source entry,6,8
9,CE,1865,April,North America,GHC-APR-0050,military,"Robert E. Lee surrendered the Army of Northern Virginia to Ulysses S. Grant at Appomattox Court House, effectively ending the American Civil War.",Lee Surrenders at Appomattox,"April 9, 1865 CE",https://en.wikipedia.org/wiki/April_9,1865-04-09,Appomattox Court House,"April 9, 1865",Wikipedia — April 9,exact,American Civil War,United States,Gregorian,evidence-based partial coverage,Robert E. Lee; Ulysses S. Grant,United States,regional,secondary source; page cites references,20,verified against dated source entry,6,8
9,CE,1940,April,Europe,GHC-APR-0051,military,Germany invaded Denmark and Norway during World War II in Operation Weserübung.,Germany Invades Denmark and Norway,"April 9, 1940 CE",https://en.wikipedia.org/wiki/April_9,1940-04-09,,"April 9, 1940",Wikipedia — April 9,exact,World War II,Denmark; Norway,Gregorian,evidence-based partial coverage,,Nazi Germany,regional,secondary source; page cites references,20,verified against dated source entry,6,8
9,CE,1947,April,North America,GHC-APR-0052,social,"The Journey of Reconciliation, described as the first interracial Freedom Ride, began through the upper South in violation of Jim Crow laws.",Journey of Reconciliation Begins,"April 9, 1947 CE",https://en.wikipedia.org/wiki/April_9,1947-04-09,,"April 9, 1947",Wikipedia — April 9,exact,Civil rights,United States,Gregorian,evidence-based partial coverage,,United States,regional,secondary source; page cites references,20,verified against dated source entry,6,8
9,CE,2003,April,Middle East,GHC-APR-0053,military,"During the Iraq War, Baghdad fell to American forces.",Fall of Baghdad,"April 9, 2003 CE",https://en.wikipedia.org/wiki/April_9,2003-04-09,Baghdad,"April 9, 2003",Wikipedia — April 9,exact,Iraq War,Iraq,Gregorian,evidence-based partial coverage,,Iraq,regional,secondary source; page cites references,20,verified against dated source entry,6,8
10,CE,1545,April,South America,GHC-APR-0054,economic,"The settlement of Villa Imperial de Carlos V, now Potosí, is founded in Bolivia after the discovery of huge silver deposits.",Founding of Potosí,"April 10, 1545 CE",https://en.wikipedia.org/wiki/April_10,1545-04-10,Potosí,"April 10, 1545",Wikipedia — April 10,exact,Mining settlement,Bolivia,Gregorian,evidence-based partial coverage,,Villa Imperial de Carlos V,regional,secondary source; page cites references,20,verified against dated source entry,6,8
10,CE,1710,April,Europe,GHC-APR-0055,social,"The Statute of Anne, the first law regulating copyright, comes into force in Great Britain.",Statute of Anne takes effect,"April 10, 1710 CE",https://en.wikipedia.org/wiki/April_10,1710-04-10,,"April 10, 1710",Wikipedia — April 10,exact,Copyright law,United Kingdom,Gregorian,evidence-based partial coverage,,Great Britain,regional,secondary source; page cites references,20,verified against dated source entry,6,8
10,CE,1815,April,Asia,GHC-APR-0056,disaster,"Mount Tambora begins a three-month-long eruption that ultimately kills 71,000 people and affects Earth's climate for the next two years.",Mount Tambora eruption begins,"April 10, 1815 CE",https://en.wikipedia.org/wiki/April_10,1815-04-10,,"April 10, 1815",Wikipedia — April 10,exact,Volcanic eruption,Indonesia,Gregorian,evidence-based partial coverage,,Mount Tambora,regional,secondary source; page cites references,20,verified against dated source entry,6,8
10,CE,1912,April,Europe,GHC-APR-0057,exploration,"RMS Titanic sets sail from Southampton, UK, on its maiden and only voyage.",RMS Titanic begins maiden voyage,"April 10, 1912 CE",https://en.wikipedia.org/wiki/April_10,1912-04-10,Southampton,"April 10, 1912",Wikipedia — April 10,exact,Ocean liner voyage,United Kingdom,Gregorian,evidence-based partial coverage,,RMS Titanic,global,secondary source; page cites references,20,verified against dated source entry,6,9
10,CE,1963,April,North America,GHC-APR-0058,disaster,"The submarine USS Thresher sinks at sea, killing 129 American sailors.",USS Thresher sinks,"April 10, 1963 CE",https://en.wikipedia.org/wiki/April_10,1963-04-10,,"April 10, 1963",Wikipedia — April 10,exact,Submarine disaster,United States,Gregorian,evidence-based partial coverage,,USS Thresher,regional,secondary source; page cites references,20,verified against dated source entry,6,8
10,CE,1998,April,Europe,GHC-APR-0059,political,The Good Friday Agreement is signed in Northern Ireland.,Good Friday Agreement signed,"April 10, 1998 CE",https://en.wikipedia.org/wiki/April_10,1998-04-10,,"April 10, 1998",Wikipedia — April 10,exact,Peace agreement,United Kingdom,Gregorian,evidence-based partial coverage,,Good Friday Agreement,regional,secondary source; page cites references,20,verified against dated source entry,6,8
11,CE,1713,April,Europe,GHC-APR-0060,political,"France and Great Britain sign the Treaty of Utrecht, bringing an end to the War of the Spanish Succession.",Treaty of Utrecht,"April 11, 1713 CE",https://en.wikipedia.org/wiki/April_11,1713-04-11,Utrecht,"April 11, 1713",Wikipedia — April 11,exact,peace treaty,France; United Kingdom; Spain,Gregorian,evidence-based partial coverage,Philip V; Queen Anne,France; Great Britain; Spain,global,secondary source; page cites references,20,verified against dated source entry,6,9
11,CE,1868,April,Asia,GHC-APR-0061,political,"Tokugawa Yoshinobu surrenders Edo Castle to Imperial forces, marking the end of the Tokugawa shogunate.",Surrender of Edo Castle,"April 11, 1868 CE",https://en.wikipedia.org/wiki/April_11,1868-04-11,Edo,"April 11, 1868",Wikipedia — April 11,exact,regime transition,Japan,Gregorian,evidence-based partial coverage,Tokugawa Yoshinobu,Tokugawa shogunate,regional,secondary source; page cites references,20,verified against dated source entry,6,8
11,CE,1909,April,Middle East,GHC-APR-0062,social,The city of Tel Aviv is founded.,Founding of Tel Aviv,"April 11, 1909 CE",https://en.wikipedia.org/wiki/April_11,1909-04-11,Tel Aviv,"April 11, 1909",Wikipedia — April 11,exact,urban founding,Israel,Gregorian,evidence-based partial coverage,,Tel Aviv,regional,secondary source; page cites references,20,verified against dated source entry,6,8
11,CE,1945,April,Europe,GHC-APR-0063,military,American forces liberate the Buchenwald concentration camp.,Liberation of Buchenwald,"April 11, 1945 CE",https://en.wikipedia.org/wiki/April_11,1945-04-11,Buchenwald,"April 11, 1945",Wikipedia — April 11,exact,World War II liberation,Germany,Gregorian,evidence-based partial coverage,,Buchenwald concentration camp,regional,secondary source; page cites references,20,verified against dated source entry,6,8
11,CE,1968,April,North America,GHC-APR-0064,political,"US President Lyndon B. Johnson signs the Civil Rights Act of 1968, prohibiting discrimination in the sale, rental, and financing of housing.",Civil Rights Act of 1968,"April 11, 1968 CE",https://en.wikipedia.org/wiki/April_11,1968-04-11,,"April 11, 1968",Wikipedia — April 11,exact,civil rights legislation,United States,Gregorian,evidence-based partial coverage,Lyndon B. Johnson,United States,regional,secondary source; page cites references,20,verified against dated source entry,6,8
