Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1894,November,,Eastern Europe,GHC-NOV-1-11,Political,"Nicholas II becomes the new (and last) Tsar of Russia after his father, Alexander III, dies.",Nicholas II becomes tsar,1 November 1894 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Succession,Russia,Gregorian (modern date listing),Target met,Nicholas II; Alexander III,Russian Empire,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1911,November,,North Africa,GHC-NOV-1-12,Military,World's first combat aerial bombing mission takes place in Libya during the Italo-Turkish War. Second Lieutenant Giulio Gavotti of Italy drops several small bombs.,First combat aerial bombing mission,1 November 1911 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Air warfare,Italy; Libya,Gregorian (modern date listing),Target met,Giulio Gavotti,Italian military,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1914,November,,South America,GHC-NOV-1-13,Military,"World War I: The first British Royal Navy defeat of the war with Germany, the Battle of Coronel, is fought off of the western coast of Chile, in the Pacific, with the loss of HMS Good Hope and HMS Monmouth.",Battle of Coronel,1 November 1914 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Naval battle,United Kingdom; Germany; Chile,Gregorian (modern date listing),Target met,,Royal Navy; Imperial German Navy,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1918,November,,Eastern Europe,GHC-NOV-1-14,Political,Western Ukraine separates from Austria-Hungary.,Western Ukraine separates from Austria-Hungary,1 November 1918 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Independence movement,Ukraine; Austria,Gregorian (modern date listing),Target met,,Western Ukrainian state,Regional,Secondary reference chronology,20,Verified against cited chronology,20,4
1,CE,1922,November,,Middle East,GHC-NOV-1-15,Political,"Abolition of the Ottoman sultanate: The last sultan of the Ottoman Empire, Mehmed VI, abdicates.",Ottoman sultanate abolished,1 November 1922 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Abolition of monarchy,Turkey,Gregorian (modern date listing),Target met,Mehmed VI,Grand National Assembly of Turkey; Ottoman Empire,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1928,November,,Middle East,GHC-NOV-1-16,Social,"The Law on the Adoption and Implementation of the Turkish Alphabet, replaces the Arabic alphabet with the Latin alphabet.",Turkey adopts Latin alphabet,1 November 1928 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Language reform,Turkey,Gregorian (modern date listing),Target met,,Republic of Turkey,National,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1943,November,,Oceania,GHC-NOV-1-17,Military,"World War II: The 3rd Marine Division, United States Marines, landing on Bougainville in the Solomon Islands, secures a beachhead, leading that night to a naval clash at the Battle of Empress Augusta Bay.",Allied landing on Bougainville,1 November 1943 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Amphibious operation,United States; Papua New Guinea,Gregorian (modern date listing),Target met,,United States Marine Corps,Global,Secondary reference chronology,20,Verified against cited chronology,20,4
1,CE,1952,November,,Oceania,GHC-NOV-1-18,Scientific,"Nuclear weapons testing: The United States successfully detonates Ivy Mike, the first thermonuclear device, at the Eniwetok atoll. The explosion had a yield of ten megatons TNT equivalent. [11]",First thermonuclear device detonated,1 November 1952 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Nuclear weapons test,United States; Marshall Islands,Gregorian (modern date listing),Target met,,United States military,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1954,November,,North Africa,GHC-NOV-1-19,Military,The Front de Libération Nationale fires the first shots of the Algerian War of Independence.,Algerian War begins,1 November 1954 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,War of independence,Algeria; France,Gregorian (modern date listing),Target met,,Front de Libération Nationale,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1993,November,,Europe,GHC-NOV-1-20,Political,"The Maastricht Treaty takes effect, formally establishing the European Union. [15]",Maastricht Treaty takes effect,1 November 1993 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Regional integration,European Union member states,Gregorian (modern date listing),Target met,,European Union,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
2,CE,1795,November,,Europe,GHC-NOV-2-01,Political,"The French Directory, a five-man revolutionary government, is created. [5]",French Directory established,2 November 1795 CE,https://en.wikipedia.org/wiki/November_2,November 2,Paris,,Wikipedia — November date page,Exact,Government formation,France,Gregorian (modern date listing),Below target,,French Directory,National,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1889,November,,North America,GHC-NOV-2-02,Political,North Dakota and South Dakota are admitted as the 39th and 40th U.S. states. [8],North Dakota and South Dakota admitted to the United States,2 November 1889 CE,https://en.wikipedia.org/wiki/November_2,November 2,,,Wikipedia — November date page,Exact,Statehood,United States,Gregorian (modern date listing),Below target,,United States,National,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1914,November,,Europe; Middle East,GHC-NOV-2-03,Military,World War I: The Russian Empire declares war on the Ottoman Empire and the Dardanelles is subsequently closed. [11],Russia declared war on the Ottoman Empire,2 November 1914 CE,https://en.wikipedia.org/wiki/November_2,November 2,,,Wikipedia — November date page,Exact,Declaration of war,Russia; Turkey,Gregorian (modern date listing),Below target,,Russian Empire; Ottoman Empire,Regional,Secondary reference chronology,20,Verified against cited chronology,17,5
2,CE,1917,November,,Europe; Middle East,GHC-NOV-2-04,Political,"The Balfour Declaration proclaims British support for the ""establishment in Palestine of a national home for the Jewish people"" with the clear understanding ""that nothing shall be done which may prejudice the civil and religious rights of existing non-Jewish communities"". [12]",Balfour Declaration issued,2 November 1917 CE,https://en.wikipedia.org/wiki/November_2,November 2,London,,Wikipedia — November date page,Exact,Diplomatic declaration,United Kingdom; Israel; Palestine,Gregorian (modern date listing),Below target,Arthur Balfour,British government,Global,Secondary reference chronology,20,Verified against cited chronology,17,5
2,CE,1920,November,,North America,GHC-NOV-2-05,Scientific,"In the United States, KDKA of Pittsburgh starts broadcasting as the first commercial radio station. The first broadcast is the result of the 1920 United States presidential election. [15]",KDKA began commercial radio broadcasting,2 November 1920 CE,https://en.wikipedia.org/wiki/November_2,November 2,Pittsburgh,,Wikipedia — November date page,Exact,Broadcasting technology,United States,Gregorian (modern date listing),Below target,,KDKA,Global,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1936,November,,Europe,GHC-NOV-2-06,Scientific,"The BBC Television Service, the world's first regular, ""high-definition"" (then defined as at least 200 lines) service begins. Renamed BBC1 in 1964, the channel still runs to this day. [16]",BBC Television Service began,2 November 1936 CE,https://en.wikipedia.org/wiki/November_2,November 2,London,,Wikipedia — November date page,Exact,Television broadcasting,United Kingdom,Gregorian (modern date listing),Below target,,BBC,Global,Secondary reference chronology,20,Verified against cited chronology,17,5
2,CE,1949,November,,Europe; Southeast Asia,GHC-NOV-2-07,Political,The Dutch–Indonesian Round Table Conference ends with the Netherlands agreeing to transfer sovereignty of the Dutch East Indies to the United States of Indonesia. [19],Dutch–Indonesian Round Table Conference ended,2 November 1949 CE,https://en.wikipedia.org/wiki/November_2,November 2,The Hague,,Wikipedia — November date page,Exact,Decolonization,Netherlands; Indonesia,Gregorian (modern date listing),Below target,,Netherlands; United States of Indonesia,Regional,Secondary reference chronology,20,Verified against cited chronology,17,5
2,CE,1956,November,,Middle East,GHC-NOV-2-08,Military,Suez Crisis: Israel occupies the Gaza Strip. [22],Israel occupied the Gaza Strip,2 November 1956 CE,https://en.wikipedia.org/wiki/November_2,November 2,Gaza Strip,,Wikipedia — November date page,Exact,Occupation,Israel; Egypt,Gregorian (modern date listing),Below target,,Israel Defense Forces; Egypt,Regional,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1959,November,,North America,GHC-NOV-2-09,Social,Quiz show scandals: Twenty-One game show contestant Charles Van Doren admits to a Congressional committee that he had been given questions and answers in advance. [23],Charles Van Doren admitted quiz-show deception,2 November 1959 CE,https://en.wikipedia.org/wiki/November_2,November 2,"Washington, D.C.",,Wikipedia — November date page,Exact,Media ethics,United States,Gregorian (modern date listing),Below target,Charles Van Doren,United States Congress,National,Secondary reference chronology,20,Verified against cited chronology,17,3
2,CE,1960,November,,Europe,GHC-NOV-2-10,Cultural,"Penguin Books is found not guilty of obscenity in the trial R v Penguin Books Ltd, the Lady Chatterley's Lover case. [25]",Lady Chatterley's Lover acquittal,2 November 1960 CE,https://en.wikipedia.org/wiki/November_2,November 2,London,,Wikipedia — November date page,Exact,Censorship and publishing,United Kingdom,Gregorian (modern date listing),Below target,,Penguin Books,National,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1963,November,,Southeast Asia,GHC-NOV-2-11,Political,South Vietnamese President Ngô Đình Diệm is assassinated following a military coup. [26],Ngô Đình Diệm assassinated,2 November 1963 CE,https://en.wikipedia.org/wiki/November_2,November 2,Saigon,,Wikipedia — November date page,Exact,Coup and assassination,Vietnam,Gregorian (modern date listing),Below target,Ngô Đình Diệm,Republic of Vietnam,Regional,Secondary reference chronology,20,Verified against cited chronology,17,5
2,CE,1964,November,,Middle East,GHC-NOV-2-12,Political,"King Saud of Saudi Arabia is deposed by a family coup, and replaced by his half-brother Faisal. [27]",King Saud deposed,2 November 1964 CE,https://en.wikipedia.org/wiki/November_2,November 2,Riyadh,,Wikipedia — November date page,Exact,Leadership change,Saudi Arabia,Gregorian (modern date listing),Below target,Saud; Faisal,House of Saud,Regional,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1966,November,,North America; Caribbean,GHC-NOV-2-13,Political,"The Cuban Adjustment Act comes into force, allowing 123,000 Cubans the opportunity to apply for permanent residence in the United States. [29]",Cuban Adjustment Act took effect,2 November 1966 CE,https://en.wikipedia.org/wiki/November_2,November 2,"Washington, D.C.",,Wikipedia — November date page,Exact,Immigration law,United States; Cuba,Gregorian (modern date listing),Below target,,United States Congress,National,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1983,November,,North America,GHC-NOV-2-14,Political,U.S. President Ronald Reagan signs a bill creating Martin Luther King Jr. Day. [33],Martin Luther King Jr. Day created,2 November 1983 CE,https://en.wikipedia.org/wiki/November_2,November 2,"Washington, D.C.",,Wikipedia — November date page,Exact,Civil rights commemoration,United States,Gregorian (modern date listing),Below target,Ronald Reagan; Martin Luther King Jr.,United States government,National,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,1988,November,,North America,GHC-NOV-2-15,Scientific,"The Morris worm, the first Internet-distributed computer worm to gain significant mainstream media attention, is launched from MIT. [36]",Morris worm launched,2 November 1988 CE,https://en.wikipedia.org/wiki/November_2,November 2,Cambridge,,Wikipedia — November date page,Exact,Computer security,United States,Gregorian (modern date listing),Below target,,Massachusetts Institute of Technology,Global,Secondary reference chronology,20,Verified against cited chronology,17,5
2,CE,1997,November,,Southeast Asia,GHC-NOV-2-16,Disaster,"Tropical Storm Linda makes landfall in the Mekong Delta in Vietnam, causing more than 3,000 deaths. [39]",Tropical Storm Linda struck Vietnam,2 November 1997 CE,https://en.wikipedia.org/wiki/November_2,November 2,Mekong Delta,,Wikipedia — November date page,Exact,Tropical cyclone,Vietnam,Gregorian (modern date listing),Below target,,,Regional,Secondary reference chronology,20,Verified against cited chronology,17,4
2,CE,2000,November,,Space,GHC-NOV-2-17,Exploration,"Expedition 1 arrived at the International Space Station for the first long-duration stay onboard. From this day to present, a continuous human presence in space on the station remains uninterrupted. [41] [42]",Expedition 1 arrived at the International Space Station,2 November 2000 CE,https://en.wikipedia.org/wiki/November_2,November 2,,,Wikipedia — November date page,Exact,Human spaceflight,,Gregorian (modern date listing),Below target,,International Space Station; Expedition 1,Global,Secondary reference chronology,20,Verified against cited chronology,17,5
3,CE,1493,November,,Caribbean,GHC-NOV-3-01,Exploration,Christopher Columbus first sights the island of Dominica in the Caribbean Sea.,Columbus sights Dominica,3 November 1493 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,European exploration,Dominica,Gregorian (modern date listing),Target met,Christopher Columbus,Crown of Castile,Regional,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1534,November,,Europe,GHC-NOV-3-02,Religious,"English Parliament passes the first Act of Supremacy, making King Henry VIII head of the Anglican Church, supplanting the pope and the Roman Catholic Church.",First Act of Supremacy,3 November 1534 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Church-state relations,United Kingdom,Gregorian (modern date listing),Target met,Henry VIII,Kingdom of England,National,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1783,November,,North America,GHC-NOV-3-03,Military,The American Continental Army is disbanded.,Continental Army disbanded,3 November 1783 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Demobilization,United States,Gregorian (modern date listing),Target met,,Continental Army,National,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1793,November,,Europe,GHC-NOV-3-04,Political,"French playwright, journalist and feminist Olympe de Gouges is guillotined.",Execution of Olympe de Gouges,3 November 1793 CE,https://en.wikipedia.org/wiki/November_3,November 3,Paris,,Wikipedia — November date page,Exact,Revolutionary repression,France,Gregorian (modern date listing),Target met,Olympe de Gouges,French Republic,National,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1812,November,,Europe,GHC-NOV-3-05,Military,Napoleon's armies are defeated at the Battle of Vyazma.,Battle of Vyazma,3 November 1812 CE,https://en.wikipedia.org/wiki/November_3,November 3,Vyazma,,Wikipedia — November date page,Exact,Napoleonic Wars,Russia,Gregorian (modern date listing),Target met,Napoleon Bonaparte,French Empire; Russian Empire,Regional,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1848,November,,Europe,GHC-NOV-3-06,Political,"A greatly revised Dutch constitution, which transfers much authority from the king to his parliament and ministers, is proclaimed.",Dutch constitutional reform proclaimed,3 November 1848 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Constitutional reform,Netherlands,Gregorian (modern date listing),Target met,,Kingdom of the Netherlands,National,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1867,November,,Europe,GHC-NOV-3-07,Military,Giuseppe Garibaldi and his followers are defeated in the Battle of Mentana and fail to end the Pope's Temporal power in Rome (it would be achieved three years later).,Battle of Mentana,3 November 1867 CE,https://en.wikipedia.org/wiki/November_3,November 3,Mentana,,Wikipedia — November date page,Exact,Italian unification,Italy,Gregorian (modern date listing),Target met,Giuseppe Garibaldi,Papal States; Kingdom of Italy,Regional,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1868,November,,North America,GHC-NOV-3-08,Political,"John Willis Menard (R-LA) becomes the first African American elected to the United States Congress. Because of an electoral challenge, he is never seated.",John Willis Menard elected to Congress,3 November 1868 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Civil rights and representation,United States,Gregorian (modern date listing),Target met,John Willis Menard,United States Congress,National,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1898,November,,Africa,GHC-NOV-3-09,Political,"France withdraws its troops from Fashoda (now in Sudan), ending the Fashoda Incident.",Fashoda Incident ends,3 November 1898 CE,https://en.wikipedia.org/wiki/November_3,November 3,Fashoda,,Wikipedia — November date page,Exact,Colonial diplomacy,Sudan; France,Gregorian (modern date listing),Target met,,French Republic; United Kingdom,Regional,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1903,November,,Central America,GHC-NOV-3-10,Political,"With the encouragement of the United States, Panama separates from Colombia.",Panama separates from Colombia,3 November 1903 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Independence and secession,Panama; Colombia; United States,Gregorian (modern date listing),Target met,,Republic of Panama; Republic of Colombia,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1918,November,,Europe,GHC-NOV-3-11,Political,"The German Revolution of 1918–19 begins when 40,000 sailors take over the port in Kiel.",German Revolution begins at Kiel,3 November 1918 CE,https://en.wikipedia.org/wiki/November_3,November 3,Kiel,,Wikipedia — November date page,Exact,Revolution,Germany,Gregorian (modern date listing),Target met,,German Empire,National,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1936,November,,North America,GHC-NOV-3-12,Political,Franklin D. Roosevelt is reelected as President of the United States.,Roosevelt reelected president,3 November 1936 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Presidential election,United States,Gregorian (modern date listing),Target met,Franklin D. Roosevelt,United States government,National,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1946,November,,East Asia,GHC-NOV-3-13,Political,The Constitution of Japan is adopted through Emperor's assent.,Constitution of Japan adopted,3 November 1946 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Constitutional reform,Japan,Gregorian (modern date listing),Target met,Hirohito,State of Japan,National,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1950,November,,Europe,GHC-NOV-3-14,Disaster,"Air India Flight 245 crashes into Mont Blanc while on approach to Geneva Airport, killing all 48 people on board. [4]",Air India Flight 245 crash,3 November 1950 CE,https://en.wikipedia.org/wiki/November_3,November 3,Mont Blanc,,Wikipedia — November date page,Exact,Aviation accident,France; India,Gregorian (modern date listing),Target met,,Air India,International,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1957,November,,Global,GHC-NOV-3-15,Scientific,"Sputnik program: The Soviet Union launches Sputnik 2. [5] On board is the first animal to enter orbit, a dog named Laika. [6]",Sputnik 2 launched,3 November 1957 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Space exploration,Russia,Gregorian (modern date listing),Target met,Laika,Soviet Union,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1961,November,,Global,GHC-NOV-3-16,Political,"U Thant is unanimously appointed as the 3rd Secretary-General of the United Nations, becoming the first non-European individual to occupy the post. [7]",U Thant appointed UN secretary-general,3 November 1961 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,International institutions,Myanmar,Gregorian (modern date listing),Target met,U Thant,United Nations,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1964,November,,North America,GHC-NOV-3-17,Political,"Lyndon B. Johnson is elected to a full term as U.S. president, winning 61% of the vote and 44 states, while Washington D.C. residents are able to vote in a presidential election for the first time, casting the majority of their votes for Lyndon Johnson.",Johnson reelected president,3 November 1964 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Presidential election,United States,Gregorian (modern date listing),Target met,Lyndon B. Johnson,United States government,National,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1973,November,,Global,GHC-NOV-3-18,Scientific,"Mariner program: NASA launches the Mariner 10 toward Mercury. [9] On March 29, 1974, it becomes the first space probe to reach that planet. [10]",Mariner 10 launched,3 November 1973 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Space exploration,United States,Gregorian (modern date listing),Target met,,NASA,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
3,CE,1978,November,,Caribbean,GHC-NOV-3-19,Political,Dominica gains its independence from the United Kingdom.,Dominica gains independence,3 November 1978 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Decolonization,Dominica; United Kingdom,Gregorian (modern date listing),Target met,,Commonwealth of Dominica,National,Secondary reference chronology,20,Verified against cited chronology,20,4
3,CE,1986,November,,Middle East,GHC-NOV-3-20,Political,Iran–Contra affair: The Lebanese magazine Ash-Shiraa reports that the United States has been secretly selling weapons to Iran in order to secure the release of seven American hostages held by pro-Iranian groups in Lebanon.,Iran–Contra affair revealed,3 November 1986 CE,https://en.wikipedia.org/wiki/November_3,November 3,,,Wikipedia — November date page,Exact,Government scandal,United States; Iran; Lebanon,Gregorian (modern date listing),Target met,,United States government,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
4,CE,1576,November,,Western Europe,GHC-NOV-4-01,Military,"Eighty Years' War: In Flanders, Spain captures Antwerp (which is nearly destroyed after three days).",Spanish capture of Antwerp,4 November 1576 CE,https://en.wikipedia.org/wiki/November_4,November 4,Antwerp,,Wikipedia — November date page,Exact,Siege and conquest,Belgium,Gregorian (modern date listing),Target met,,Spanish Empire,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
4,CE,1780,November,,South America,GHC-NOV-4-02,Political,The Rebellion of Túpac Amaru II against Spanish rule in the Viceroyalty of Peru begins.,Túpac Amaru II Rebellion begins,4 November 1780 CE,https://en.wikipedia.org/wiki/November_4,November 4,,,Wikipedia — November date page,Exact,Anti-colonial rebellion,Peru,Gregorian (modern date listing),Target met,Túpac Amaru II,Viceroyalty of Peru,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
4,CE,1791,November,,North America,GHC-NOV-4-03,Military,Northwest Indian War: The Western Confederacy of American Indians wins a major victory over the United States in the Battle of the Wabash.,Battle of the Wabash,4 November 1791 CE,https://en.wikipedia.org/wiki/November_4,November 4,,,Wikipedia — November date page,Exact,Indigenous-American war,United States,Gregorian (modern date listing),Target met,,Western Confederacy,National,Secondary reference chronology,20,Verified against cited chronology,20,5
4,CE,1839,November,,Western Europe,GHC-NOV-4-04,Political,Newport Rising: The last large-scale armed rebellion against authority in mainland Britain.,Newport Rising,4 November 1839 CE,https://en.wikipedia.org/wiki/November_4,November 4,Newport,,Wikipedia — November date page,Exact,Political rebellion,United Kingdom,Gregorian (modern date listing),Target met,,Chartist movement,National,Secondary reference chronology,20,Verified against cited chronology,20,4
4,CE,1847,November,,Western Europe,GHC-NOV-4-05,Scientific,"Sir James Young Simpson, a Scottish medical doctor, discovers the anaesthetic properties of chloroform.",Chloroform anesthesia discovered,4 November 1847 CE,https://en.wikipedia.org/wiki/November_4,November 4,,,Wikipedia — November date page,Exact,Medical discovery,United Kingdom,Gregorian (modern date listing),Target met,James Young Simpson,,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
4,CE,1852,November,,Southern Europe,GHC-NOV-4-06,Political,"Camillo Benso, Count of Cavour, becomes the prime minister of Piedmont- Sardinia, which soon expands to become Italy.",Cavour becomes prime minister of Piedmont-Sardinia,4 November 1852 CE,https://en.wikipedia.org/wiki/November_4,November 4,,,Wikipedia — November date page,Exact,Government and state formation,Italy,Gregorian (modern date listing),Target met,"Camillo Benso, Count of Cavour",Kingdom of Piedmont-Sardinia,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
