Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Source 2 URL,Calendar date,Source 1 name,Source 2 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1847,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-01-11,event,"The world's first ""Mercy"" Hospital is founded in Pittsburgh, United States, by a group of Sisters of Mercy from Ireland; the name will go on to grace over 30 major hospitals throughout the world.","The world's first ""Mercy"" Hospital is founded in Pittsburgh, United States, by a group of Sisters of Mercy from Ireland; the name will go on to grace over 30 major hospitals…",1 January 1847 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Medicine and public health,United States,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
1,CE,1982,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-01-12,event,Peruvian Javier Pérez de Cuéllar becomes the first Latin American to hold the title of Secretary-General of the United Nations. The event is recorded in a dated historical chronology for this calendar day.,Peruvian Javier Pérez de Cuéllar becomes the first Latin American to hold the title of Secretary-General of the United Nations.,1 January 1982 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),"Social, economic and institutional history",Peru,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,7
1,CE,1806,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-01-13,event,The French Republican Calendar is abolished. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,The French Republican Calendar is abolished.,1 January 1806 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),"Science, technology and exploration",,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,7
1,CE,1822,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-01-14,event,The Greek Constitution of 1822 is adopted by the First National Assembly at Epidaurus. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,The Greek Constitution of 1822 is adopted by the First National Assembly at Epidaurus.,1 January 1822 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,7
1,CE,1877,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-01-15,event,Queen Victoria of the United Kingdom is proclaimed Empress of India. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,Queen Victoria of the United Kingdom is proclaimed Empress of India.,1 January 1877 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,India,Gregorian day-date convention (retrospective where applicable),meets target,national,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,5
1,CE,1960,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Europe,JAN-01-16,event,Cameroon achieves independence from France and the United Kingdom. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,Cameroon achieves independence from France and the United Kingdom.,1 January 1960 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,France,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
1,CE,2004,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-01-17,event,"In a vote of confidence, General Pervez Musharraf wins 658 out of 1,170 votes in the Electoral College of Pakistan, and according to Article 41(8) of the Constitution of Pakistan, is ""deemed to be elected"" to the office of President until October 2007.","In a vote of confidence, General Pervez Musharraf wins 658 out of 1,170 votes in the Electoral College of Pakistan, and according to Article 41(8) of the Constitution of…",1 January 2004 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,Pakistan,Gregorian day-date convention (retrospective where applicable),meets target,national,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,5
1,CE,1804,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-01-18,event,French rule ends in Haiti. Haiti becomes the first black-majority republic and second independent country in North America after the United States. The event is recorded in a dated historical chronology for this calendar day.,French rule ends in Haiti. Haiti becomes the first black-majority republic and second independent country in North America after the United States.,1 January 1804 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,United States,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
1,CE,1964,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-01-19,event,"The Federation of Rhodesia and Nyasaland is divided into the independent republics of Zambia and Malawi, and the British-controlled Rhodesia. The event is recorded in a dated historical chronology for this calendar day.","The Federation of Rhodesia and Nyasaland is divided into the independent republics of Zambia and Malawi, and the British-controlled Rhodesia.",1 January 1964 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
1,CE,1912,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-01-20,event,The Republic of China is established. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,The Republic of China is established.,1 January 1912 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,China,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
2,CE,1991,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Africa,JAN-02-01,event,Sharon Pratt Dixon becomes the first African American woman mayor of a major city and first woman Mayor of the District of Columbia. The event is recorded in a dated historical chronology for this calendar day.,Sharon Pratt Dixon becomes the first African American woman mayor of a major city and first woman Mayor of the District of Columbia.,2 January 1991 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),"Social, economic and institutional history",,Gregorian day-date convention (retrospective where applicable),meets target,national,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,5
2,CE,1963,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-02-02,event,"Vietnam War: The Viet Cong wins its first major victory, at the Battle of Ap Bac. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.","Vietnam War: The Viet Cong wins its first major victory, at the Battle of Ap Bac.",2 January 1963 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,Vietnam,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,9
2,CE,1988,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Middle East,JAN-02-03,event,"Condor Flugdienst Flight 3782 crashes near Seferihisar, Turkey, killing 16 people. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.","Condor Flugdienst Flight 3782 crashes near Seferihisar, Turkey, killing 16 people.",2 January 1988 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),Disaster and public safety,Turkey,Gregorian day-date convention (retrospective where applicable),meets target,national,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,4
2,CE,1777,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-02-04,event,"American Revolutionary War: American forces under the command of General George Washington repulse a British attack led by General Charles Cornwallis at the Battle of the Assunpink Creek near Trenton, New Jersey.",American Revolutionary War: American forces under the command of General George Washington repulse a British attack led by General Charles Cornwallis at the Battle of the…,2 January 1777 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,10
2,CE,1863,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-02-05,event,American Civil War: The three-day Battle of Stones River ends in a Union victory when the Confederate Army of Tennessee under General Braxton Bragg are repulsed for the final time by the Army of the Cumberland under General William S. Rosecrans.,American Civil War: The three-day Battle of Stones River ends in a Union victory when the Confederate Army of Tennessee under General Braxton Bragg are repulsed for the final…,2 January 1863 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,9
2,CE,1959,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-02-06,event,"Luna 1, the first spacecraft to reach the vicinity of the Moon and to orbit the Sun, is launched by the Soviet Union. The event is recorded in a dated historical chronology for this calendar day.","Luna 1, the first spacecraft to reach the vicinity of the Moon and to orbit the Sun, is launched by the Soviet Union.",2 January 1959 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),"Science, technology and exploration",,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
2,CE,1978,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-02-07,event,"On the orders of the President of Pakistan, Muhammad Zia-ul-Haq, paramilitary forces opened fire on peaceful protesting workers in Multan, Pakistan; it is known as 1978 massacre at Multan Colony Textile Mills.","On the orders of the President of Pakistan, Muhammad Zia-ul-Haq, paramilitary forces opened fire on peaceful protesting workers in Multan, Pakistan; it is known as 1978…",2 January 1978 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,Pakistan,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
2,CE,1791,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-02-08,event,"Northwest Indian War: The Big Bottom massacre is committed by Lenape and Wyandot warriors in the Ohio Country, North America. The event is recorded in a dated historical chronology for this calendar day.","Northwest Indian War: The Big Bottom massacre is committed by Lenape and Wyandot warriors in the Ohio Country, North America.",2 January 1791 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,India,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
2,CE,1942,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-02-09,event,"World War II: Manila is captured by Japanese forces, enabling them to control the Philippines. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.","World War II: Manila is captured by Japanese forces, enabling them to control the Philippines.",2 January 1942 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,Japan,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
2,CE,1941,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-02-10,event,"World War II: The Cardiff Blitz severely damages the cathedral in Cardiff, Wales. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.","World War II: The Cardiff Blitz severely damages the cathedral in Cardiff, Wales.",2 January 1941 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
2,CE,1993,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-02-11,event,Sri Lankan Civil War: The Sri Lanka Navy kill 35–100 civilians on the Jaffna Lagoon. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,Sri Lankan Civil War: The Sri Lanka Navy kill 35–100 civilians on the Jaffna Lagoon.,2 January 1993 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,Sri Lanka,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,7
2,CE,1932,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-02-12,event,The Young Brothers engaged in a gun battle resulting in the deaths of six law enforcement officers; the worst single killing of US police officers in the 20th century. The event is recorded in a dated historical chronology for this calendar day.,The Young Brothers engaged in a gun battle resulting in the deaths of six law enforcement officers; the worst single killing of US police officers in the 20th century.,2 January 1932 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,7
2,CE,1818,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-02-13,event,The British Institution of Civil Engineers is founded by a group of six engineers; Thomas Telford would later become its first president. The event is recorded in a dated historical chronology for this calendar day.,The British Institution of Civil Engineers is founded by a group of six engineers; Thomas Telford would later become its first president.,2 January 1818 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),Political history and decolonization,,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
2,CE,1955,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-02-14,event,"Following the assassination of the Panamanian president José Antonio Remón Cantera, his deputy, José Ramón Guizado, takes power, but is quickly deposed after his involvement in Cantera's death is discovered.","Following the assassination of the Panamanian president José Antonio Remón Cantera, his deputy, José Ramón Guizado, takes power, but is quickly deposed after his involvement in…",2 January 1955 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),"Science, technology and exploration",,Gregorian day-date convention (retrospective where applicable),meets target,national,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,5
2,CE,1865,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-02-15,event,"Uruguayan War: The Siege of Paysandú ends as the Brazilians and Coloradans capture Paysandú, Uruguay. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.","Uruguayan War: The Siege of Paysandú ends as the Brazilians and Coloradans capture Paysandú, Uruguay.",2 January 1865 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,Brazil,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
2,CE,1954,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-02-16,event,"India establishes its highest civilian awards, the Bharat Ratna and the Padma Vibhushan. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.","India establishes its highest civilian awards, the Bharat Ratna and the Padma Vibhushan.",2 January 1954 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,India,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
2,CE,1444,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-02-17,event,Christian forces defeat the Turks in the battle of Kunovica. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,Christian forces defeat the Turks in the battle of Kunovica.,2 January 1444 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
2,CE,1776,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Europe,JAN-02-18,event,Empress Maria Theresa of Austria amends the Constitutio Criminalis Theresiana to include the abolition of torture throughout the Habsburg-ruled countries of Austria and Bohemia. The event is recorded in a dated historical chronology for this calendar day.,Empress Maria Theresa of Austria amends the Constitutio Criminalis Theresiana to include the abolition of torture throughout the Habsburg-ruled countries of Austria and Bohemia.,2 January 1776 CE,https://en.wikipedia.org/wiki/January_2,,01-02,Wikipedia — January 2,,exact day (secondary compilation),"Social, economic and institutional history",Austria,Gregorian day-date convention (retrospective where applicable),meets target,national,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,5
