Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1964,December,Date page uses modern date presentation; original calendar date is not stated.,Asia,GHC-DEC-1-11,Conflict / political violence,"On 1 December 1964 CE, Vietnam War: U.S. President Lyndon B. Johnson and his top-ranking advisers meet to discuss plans to bomb North Vietnam.",Vietnam War: U.S. President Lyndon B. Johnson and his top-ranking advisers meet to discuss plans to bomb North Vietnam.,1 December 1964 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Vietnam,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
1,CE,2000,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-1-12,Political change,"On 1 December 2000 CE, Vicente Fox Quesada is inaugurated as the president of Mexico, marking the first peaceful transfer of executive federal power to an opposing political party following a free and democratic election in Mexico's history.","Vicente Fox Quesada is inaugurated as the president of Mexico, marking the first peaceful transfer of executive federal power to an opposing political party following a free and democratic election in Mexico's history.",1 December 2000 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Politics and governance,Mexico,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
1,CE,1828,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-1-13,Conflict / political violence,"On 1 December 1828 CE, Argentine general Juan Lavalle makes a coup against governor Manuel Dorrego, beginning the Decembrist revolution.","Argentine general Juan Lavalle makes a coup against governor Manuel Dorrego, beginning the Decembrist revolution.",1 December 1828 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,85
1,CE,1834,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-1-14,Legal and social change,"On 1 December 1834 CE, Slavery is abolished in the Cape Colony in accordance with the Slavery Abolition Act 1833.",Slavery is abolished in the Cape Colony in accordance with the Slavery Abolition Act 1833.,1 December 1834 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Law and society,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,85
1,CE,2009,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-1-15,Political change,"On 1 December 2009 CE, The Treaty of Lisbon entered into force in the European Union.",The Treaty of Lisbon entered into force in the European Union.,1 December 2009 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Politics and governance,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,83
1,CE,1941,December,Date page uses modern date presentation; original calendar date is not stated.,Global / transnational,GHC-DEC-1-16,Conflict / political violence,"On 1 December 1941 CE, World War II: Fiorello La Guardia, Mayor of New York City and Director of the Office of Civilian Defense, signs Administrative Order 9, creating the Civil Air Patrol.","World War II: Fiorello La Guardia, Mayor of New York City and Director of the Office of Civilian Defense, signs Administrative Order 9, creating the Civil Air Patrol.",1 December 1941 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,80
1,CE,1971,December,Date page uses modern date presentation; original calendar date is not stated.,Asia,GHC-DEC-1-17,Conflict / political violence,"On 1 December 1971 CE, Cambodian Civil War: Khmer Rouge rebels intensify assaults on Cambodian government positions, forcing their retreat from Kompong Thmar and nearby Ba Ray.","Cambodian Civil War: Khmer Rouge rebels intensify assaults on Cambodian government positions, forcing their retreat from Kompong Thmar and nearby Ba Ray.",1 December 1971 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Cambodia,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,80
1,CE,1916,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-1-18,Conflict / political violence,"On 1 December 1916 CE, An armed confrontation in Athens between the Kingdom of Greece and the Allied Powers, arising from a dispute over Greece's neutrality in World War I, followed by reprisals and riots against Greek supporters of the Allies marking the height of the National Schism.","An armed confrontation in Athens between the Kingdom of Greece and the Allied Powers, arising from a dispute over Greece's neutrality in World War I, followed by reprisals and riots against Greek supporters of the Allies marking the height of the National Schism.",1 December 1916 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Greece,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,75
1,CE,1919,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-1-19,Political change,"On 1 December 1919 CE, Lady Astor becomes the first female Member of Parliament (MP) to take her seat in the House of Commons of the United Kingdom. (She had been elected to that position on November 28.)",Lady Astor becomes the first female Member of Parliament (MP) to take her seat in the House of Commons of the United Kingdom. (She had been elected to that position on November 28.),1 December 1919 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Politics and governance,United Kingdom,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,75
1,CE,1941,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-1-20,Conflict / political violence,"On 1 December 1941 CE, World War II: Emperor Hirohito of Japan gives his tacit approval to the decision of the imperial council to initiate war against the United States.",World War II: Emperor Hirohito of Japan gives his tacit approval to the decision of the imperial council to initiate war against the United States.,1 December 1941 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,75
2,CE,1919,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-2-01,Conflict / political violence,"On 2 December 1919 CE, Ukrainian War of Independence: Ukrainian Bolsheviks attempt to assassinate Nestor Makhno as part of the Polonsky conspiracy.",Ukrainian War of Independence: Ukrainian Bolsheviks attempt to assassinate Nestor Makhno as part of the Polonsky conspiracy.,2 December 1919 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,100
2,CE,1823,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-02,Conflict / political violence,"On 2 December 1823 CE, Monroe Doctrine: In a State of the Union message, U.S. President James Monroe proclaims American neutrality in future European conflicts, and warns European powers not to interfere in the Americas.","Monroe Doctrine: In a State of the Union message, U.S. President James Monroe proclaims American neutrality in future European conflicts, and warns European powers not to interfere in the Americas.",2 December 1823 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,93
2,CE,1991,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-2-03,Political change,"On 2 December 1991 CE, Canada and Poland become the first nations to recognize the independence of Ukraine from the Soviet Union.",Canada and Poland become the first nations to recognize the independence of Ukraine from the Soviet Union.,2 December 1991 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Politics and governance,Russia,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,93
2,CE,1980,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-04,Conflict / political violence,"On 2 December 1980 CE, Salvadoran Civil War: Four American missionaries are raped and murdered by a death squad.",Salvadoran Civil War: Four American missionaries are raped and murdered by a death squad.,2 December 1980 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,92
2,CE,1975,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-2-05,Conflict / political violence,"On 2 December 1975 CE, Laotian Civil War: The Pathet Lao seizes the Laotian capital of Vientiane, forces the abdication of King Sisavang Vatthana, and proclaims the Lao People's Democratic Republic.","Laotian Civil War: The Pathet Lao seizes the Laotian capital of Vientiane, forces the abdication of King Sisavang Vatthana, and proclaims the Lao People's Democratic Republic.",2 December 1975 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,90
2,CE,1942,December,Date page uses modern date presentation; original calendar date is not stated.,Global / transnational,GHC-DEC-2-06,Conflict / political violence,"On 2 December 1942 CE, World War II: During the Manhattan Project, a team led by Enrico Fermi initiates the first artificial self-sustaining nuclear chain reaction.","World War II: During the Manhattan Project, a team led by Enrico Fermi initiates the first artificial self-sustaining nuclear chain reaction.",2 December 1942 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,89
2,CE,1917,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-2-07,Conflict / political violence,"On 2 December 1917 CE, World War I: Russia and the Central Powers sign an armistice at Brest-Litovsk, and peace talks leading to the Treaty of Brest-Litovsk begin.","World War I: Russia and the Central Powers sign an armistice at Brest-Litovsk, and peace talks leading to the Treaty of Brest-Litovsk begin.",2 December 1917 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,Russia,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
2,CE,1805,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-2-08,Conflict / political violence,"On 2 December 1805 CE, War of the Third Coalition: Battle of Austerlitz: French troops under Napoleon decisively defeat a joint Russo- Austrian force.",War of the Third Coalition: Battle of Austerlitz: French troops under Napoleon decisively defeat a joint Russo- Austrian force.,2 December 1805 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,France,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,85
2,CE,1899,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-09,Conflict / political violence,"On 2 December 1899 CE, Philippine–American War: The Battle of Tirad Pass, known as the ""Filipino Thermopylae"", is fought.","Philippine–American War: The Battle of Tirad Pass, known as the ""Filipino Thermopylae"", is fought.",2 December 1899 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,85
2,CE,1950,December,Date page uses modern date presentation; original calendar date is not stated.,Asia,GHC-DEC-2-10,Conflict / political violence,"On 2 December 1950 CE, Korean War: The Battle of the Ch'ongch'on River ends with a decisive Chinese victory and UN forces are completely expelled from North Korea.",Korean War: The Battle of the Ch'ongch'on River ends with a decisive Chinese victory and UN forces are completely expelled from North Korea.,2 December 1950 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,China,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,85
2,CE,1962,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-11,Conflict / political violence,"On 2 December 1962 CE, Vietnam War: After a trip to Vietnam at the request of U.S. President John F. Kennedy, U.S. Senate Majority Leader Mike Mansfield becomes the first American official to comment adversely on the war's progress.","Vietnam War: After a trip to Vietnam at the request of U.S. President John F. Kennedy, U.S. Senate Majority Leader Mike Mansfield becomes the first American official to comment adversely on the war's progress.",2 December 1962 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,85
2,CE,1859,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-12,Conflict / political violence,"On 2 December 1859 CE, Origins of the American Civil War: Militant abolitionist leader John Brown is hanged for his October raid on Harpers Ferry, Virginia (now West Virginia).","Origins of the American Civil War: Militant abolitionist leader John Brown is hanged for his October raid on Harpers Ferry, Virginia (now West Virginia).",2 December 1859 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Military and conflict,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,80
2,CE,1766,December,Date page uses modern date presentation; original calendar date is not stated.,Global / transnational,GHC-DEC-2-13,Political change,"On 2 December 1766 CE, Swedish parliament approves the Swedish Freedom of the Press Act and implements it as a ground law, thus being first in the world with freedom of speech.","Swedish parliament approves the Swedish Freedom of the Press Act and implements it as a ground law, thus being first in the world with freedom of speech.",2 December 1766 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Politics and governance,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,79
2,CE,1845,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-14,Political change,"On 2 December 1845 CE, Manifest Destiny: In a State of the Union message, U.S. President James K. Polk proposes that the United States should aggressively expand into the West.","Manifest Destiny: In a State of the Union message, U.S. President James K. Polk proposes that the United States should aggressively expand into the West.",2 December 1845 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Politics and governance,United States,Calendar system not specified by source,Target met,National / regional,Secondary reference source,20,Verified against cited date-page entry,20,73
2,CE,1930,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-2-15,Political change,"On 2 December 1930 CE, Great Depression: In a State of the Union message, U.S. President Herbert Hoover proposes a $150 million public works program to help generate jobs and stimulate the economy.","Great Depression: In a State of the Union message, U.S. President Herbert Hoover proposes a $150 million public works program to help generate jobs and stimulate the economy.",2 December 1930 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Politics and governance,,Calendar system not specified by source,Target met,National / regional,Secondary reference source,20,Verified against cited date-page entry,20,73
2,CE,1988,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-16,Science / technology,"On 2 December 1988 CE, Space Shuttle Atlantis is launched on STS-27, a classified mission for the United States Department of Defense.","Space Shuttle Atlantis is launched on STS-27, a classified mission for the United States Department of Defense.",2 December 1988 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Science and technology,United States,Calendar system not specified by source,Target met,National / regional,Secondary reference source,20,Verified against cited date-page entry,20,71
2,CE,1990,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-2-17,Science / technology,"On 2 December 1990 CE, Space Shuttle Columbia is launched on STS-35, carrying the ASTRO-1 spacelab observatory.","Space Shuttle Columbia is launched on STS-35, carrying the ASTRO-1 spacelab observatory.",2 December 1990 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Science and technology,,Calendar system not specified by source,Target met,National / regional,Secondary reference source,20,Verified against cited date-page entry,20,71
2,CE,1992,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-2-18,Science / technology,"On 2 December 1992 CE, Space Shuttle Discovery is launched on STS-53 for the United States Department of Defense.",Space Shuttle Discovery is launched on STS-53 for the United States Department of Defense.,2 December 1992 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Science and technology,United States,Calendar system not specified by source,Target met,National / regional,Secondary reference source,20,Verified against cited date-page entry,20,71
2,CE,1993,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-2-19,Science / technology,"On 2 December 1993 CE, Space Shuttle program: STS-61: NASA launches the Space Shuttle Endeavour on a mission to repair the Hubble Space Telescope.",Space Shuttle program: STS-61: NASA launches the Space Shuttle Endeavour on a mission to repair the Hubble Space Telescope.,2 December 1993 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Science and technology,,Calendar system not specified by source,Target met,National / regional,Secondary reference source,20,Verified against cited date-page entry,20,71
2,CE,1999,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-2-20,Political change,"On 2 December 1999 CE, The United Kingdom devolves political power in Northern Ireland to the Northern Ireland Executive following the Good Friday Agreement.",The United Kingdom devolves political power in Northern Ireland to the Northern Ireland Executive following the Good Friday Agreement.,2 December 1999 CE,https://en.wikipedia.org/wiki/December_2,December 2,Not stated in source,Wikipedia — December 2,Exact date as listed,Politics and governance,United Kingdom,Calendar system not specified by source,Target met,National / regional,Secondary reference source,20,Verified against cited date-page entry,20,71
3,CE,1800,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-3-01,Conflict / political violence,"On 3 December 1800 CE, War of the Second Coalition: Battle of Hohenlinden: French General Jean Victor Marie Moreau decisively defeats the Archduke John of Austria near Munich. Coupled with First Consul Napoleon Bonaparte's earlier victory at Marengo, this will force the Austrians to sign an armistice and end the war.","War of the Second Coalition: Battle of Hohenlinden: French General Jean Victor Marie Moreau decisively defeats the Archduke John of Austria near Munich. Coupled with First Consul Napoleon Bonaparte's earlier victory at Marengo, this will force the Austrians to sign an armistice and end the war.",3 December 1800 CE,https://en.wikipedia.org/wiki/December_3,December 3,Not stated in source,Wikipedia — December 3,Exact date as listed,Military and conflict,France,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,100
3,CE,1965,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-3-02,Political change,"On 3 December 1965 CE, Soviet Union, Space probe of the Luna program, called Luna 8, is launched, but crashes on the Moon.","Soviet Union, Space probe of the Luna program, called Luna 8, is launched, but crashes on the Moon.",3 December 1965 CE,https://en.wikipedia.org/wiki/December_3,December 3,Not stated in source,Wikipedia — December 3,Exact date as listed,Politics and governance,Russia,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,100
3,CE,1775,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-3-03,Political change,"On 3 December 1775 CE, American Revolution: USS Alfred becomes the first vessel to fly the Continental Union Flag (precursor to the "" Stars and Stripes""); the flag is hoisted by John Paul Jones.","American Revolution: USS Alfred becomes the first vessel to fly the Continental Union Flag (precursor to the "" Stars and Stripes""); the flag is hoisted by John Paul Jones.",3 December 1775 CE,https://en.wikipedia.org/wiki/December_3,December 3,Not stated in source,Wikipedia — December 3,Exact date as listed,Politics and governance,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,91
3,CE,1912,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-3-04,Conflict / political violence,"On 3 December 1912 CE, Bulgaria, Greece, Montenegro, and Serbia (the Balkan League) sign an armistice with the Ottoman Empire, temporarily halting the First Balkan War. (The armistice will expire on February 3, 1913, and hostilities will resume.)","Bulgaria, Greece, Montenegro, and Serbia (the Balkan League) sign an armistice with the Ottoman Empire, temporarily halting the First Balkan War. (The armistice will expire on February 3, 1913, and hostilities will resume.)",3 December 1912 CE,https://en.wikipedia.org/wiki/December_3,December 3,Not stated in source,Wikipedia — December 3,Exact date as listed,Military and conflict,Greece,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
3,CE,1920,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-3-05,Conflict / political violence,"On 3 December 1920 CE, Following more than a month of Turkish–Armenian War, the Turkish-dictated Treaty of Alexandropol is concluded.","Following more than a month of Turkish–Armenian War, the Turkish-dictated Treaty of Alexandropol is concluded.",3 December 1920 CE,https://en.wikipedia.org/wiki/December_3,December 3,Not stated in source,Wikipedia — December 3,Exact date as listed,Military and conflict,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
3,CE,1971,December,Date page uses modern date presentation; original calendar date is not stated.,Asia,GHC-DEC-3-06,Conflict / political violence,"On 3 December 1971 CE, Indo-Pakistani War of 1971: Pakistan launches a pre-emptive strike against India and a full-scale war begins.",Indo-Pakistani War of 1971: Pakistan launches a pre-emptive strike against India and a full-scale war begins.,3 December 1971 CE,https://en.wikipedia.org/wiki/December_3,December 3,Not stated in source,Wikipedia — December 3,Exact date as listed,Military and conflict,India,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
